sep=;
"Name:";"CT1 NAS HL LED DRL (STD ASSY-LED) RH #1 COLOR 2025-06-30"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"12.8104 V";"Date:";"2025-06-30 ¿ÀÈÄ 8:20:11"
"Current:";"0.00000 A";"File:";"CT1 NAS HL LED DRL (STD ASSY-LED) RH #1 COLOR 2025-06-30"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"5U-10L";"-10";"5";"0.3304";"0.3405";"5589";"OK";"330.8";"";"";"330.8";"";""
"5U-V";"0";"5";"0.3315";"0.3422";"5542";"OK";"514.8";"";"";"514.8";"";""
"5U-10R";"10";"5";"0.3302";"0.3411";"5599";"OK";"383.5";"";"";"383.5";"";""
"H-20L";"-20";"0";"0.3299";"0.3398";"5614";"OK";"135.8";"";"";"135.8";"";""
"H-10L";"-10";"0";"0.3307";"0.3404";"5576";"OK";"341.0";"";"";"341.0";"";""
"H-5L";"-5";"0";"0.3316";"0.3417";"5538";"OK";"477.5";"";"";"477.5";"";""
"H-V";"0";"0";"0.3318";"0.3421";"5528";"OK";"530.4";"";"";"530.4";"";""
"H-5R";"5";"0";"0.3313";"0.3417";"5552";"OK";"483.0";"";"";"483.0";"";""
"H-10R";"10";"0";"0.3302";"0.3407";"5598";"OK";"378.9";"";"";"378.9";"";""
"H-20R";"20";"0";"0.3293";"0.3402";"5640";"OK";"170.9";"";"";"170.9";"";""
"5D-10L";"-10";"-5";"0.3313";"0.3411";"5550";"OK";"272.7";"";"";"272.7";"";""
"5D-V";"0";"-5";"0.3321";"0.3425";"5514";"OK";"405.8";"";"";"405.8";"";""
"5D-10R";"10";"-5";"0.3303";"0.3407";"5594";"OK";"292.2";"";"";"292.2";"";""
