sep=;
"Name:";"CT1 NAS HL LED PSTN (STD ASSY-LED) RH #1 2025-06-30"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.5129 V";"Date:";"2025-07-01 ¿ÀÀü 12:38:20"
"Current:";"0.00000 A";"File:";"CT1 NAS HL LED PSTN (STD ASSY-LED) RH #1 2025-06-30"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"61.0700";"0";"0";"OK";"61.0700";"0";"0";"61.0700";"0";"0"
"30min H-V";"-";"-";"60.9900";"0";"0";"OK";"60.9900";"0";"0";"60.9900";"0";"0"
"10U - 5L";"0.8";"125";"43.4900";"-5";"10";"OK";"43.4900";"-5";"10";"43.4900";"-5";"10"
"10U - 5R";"0.8";"125";"44.7500";"5";"10";"OK";"44.7500";"5";"10";"44.7500";"5";"10"
"5U - 20L";"0.4";"125";"15.3100";"-20";"5";"OK";"15.3100";"-20";"5";"15.3100";"-20";"5"
"5U - 10L";"0.8";"125";"37.9500";"-10";"5";"OK";"37.9500";"-10";"5";"37.9500";"-10";"5"
"5U - V";"2.8";"125";"59.6500";"0";"5";"OK";"59.6500";"0";"5";"59.6500";"0";"5"
"5U - 10R";"0.8";"125";"44.2800";"10";"5";"OK";"44.2800";"10";"5";"44.2800";"10";"5"
"5U - 20R";"0.4";"125";"20.4700";"20";"5";"OK";"20.4700";"20";"5";"20.4700";"20";"5"
"H - 10L";"1.4";"125";"38.6200";"-10";"0";"OK";"38.6200";"-10";"0";"38.6200";"-10";"0"
"H - 5L";"3.6";"125";"54.4200";"-5";"0";"OK";"54.4200";"-5";"0";"54.4200";"-5";"0"
"H - V";"4";"125";"61.0000";"0";"0";"OK";"61.0000";"0";"0";"61.0000";"0";"0"
"H - 5R";"3.6";"125";"55.3800";"5";"0";"OK";"55.3800";"5";"0";"55.3800";"5";"0"
"H - 10R";"1.4";"125";"43.8200";"10";"0";"OK";"43.8200";"10";"0";"43.8200";"10";"0"
"5D - 20L";"0.4";"250";"12.3100";"-20";"-5";"OK";"12.3100";"-20";"-5";"12.3100";"-20";"-5"
"5D - 10L";"0.8";"250";"30.1100";"-10";"-5";"OK";"30.1100";"-10";"-5";"30.1100";"-10";"-5"
"5D - V";"2.8";"250";"45.4600";"0";"-5";"OK";"45.4600";"0";"-5";"45.4600";"0";"-5"
"5D - 10R";"0.8";"250";"33.4400";"10";"-5";"OK";"33.4400";"10";"-5";"33.4400";"10";"-5"
"5D - 20R";"0.4";"250";"16.6500";"20";"-5";"OK";"16.6500";"20";"-5";"16.6500";"20";"-5"
"10D - 5L";"0.8";"250";"25.8200";"-5";"-10";"OK";"25.8200";"-5";"-10";"25.8200";"-5";"-10"
"10D - 5R";"0.8";"250";"26.1500";"5";"-10";"OK";"26.1500";"5";"-10";"26.1500";"5";"-10"
"above h-h Visibility";"0.05";"125";"(1.0100) 62.7400";"(-45) -0.3";"(4.8) 2";"OK";"1.0100";"-45";"4.8";"62.7400";"-0.3";"2"
"below h-h Visibility";"0.05";"250";"(0.6400) 60.9500";"(-45) -0.3";"(-14.8) -0.01";"OK";"0.6400";"-45";"-14.8";"60.9500";"-0.3";"-0.01"
