"Name:";"CT1 NAS HL LED PSTN (STD ASSY-LED) LH #1 2025-07-01"
"Number:";""
"Report:";"Hwang Ji Hoon"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"13.5030 V";"Date:";"2025-07-02 오전 4:58:40"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED PSTN (STD ASSY-LED) LH #1 2025-07-01"
"Comment:";"PWM센서 사용. "

"Functions";"Min";"Max";"I [cd]";"H[°]";"V[°]";"N.O.K.";"Imin [cd]";"Hmin [°]";"Vmin [°]";"Imax [cd]";"Hmax [°]";"Vmax [°]"
"1min H-V";"-";"-";"57.452";"0";"0";"OK";"57.452";"0";"0";"57.452";"0";"0"
"30min H-V";"-";"-";"57.382";"0";"0";"OK";"57.382";"0";"0";"57.382";"0";"0"
"10U - 5L";"0.8";"125";"47.630";"-5";"10";"OK";"47.630";"-5";"10";"47.630";"-5";"10"
"10U - 5R";"0.8";"125";"44.315";"5";"10";"OK";"44.315";"5";"10";"44.315";"5";"10"
"5U - 20L";"0.4";"125";"19.635";"-20";"5";"OK";"19.635";"-20";"5";"19.635";"-20";"5"
"5U - 10L";"0.8";"125";"43.404";"-10";"5";"OK";"43.404";"-10";"5";"43.404";"-10";"5"
"5U - V";"2.8";"125";"58.944";"0";"5";"OK";"58.944";"0";"5";"58.944";"0";"5"
"5U - 10R";"0.8";"125";"37.998";"10";"5";"OK";"37.998";"10";"5";"37.998";"10";"5"
"5U - 20R";"0.4";"125";"15.720";"20";"5";"OK";"15.720";"20";"5";"15.720";"20";"5"
"H - 10L";"1.4";"125";"41.091";"-10";"0";"OK";"41.091";"-10";"0";"41.091";"-10";"0"
"H - 5L";"3.6";"125";"53.777";"-5";"0";"OK";"53.777";"-5";"0";"53.777";"-5";"0"
"H - V";"4";"125";"57.382";"0";"0";"OK";"57.382";"0";"0";"57.382";"0";"0"
"H - 5R";"3.6";"125";"50.473";"5";"0";"OK";"50.473";"5";"0";"50.473";"5";"0"
"H - 10R";"1.4";"125";"36.816";"10";"0";"OK";"36.816";"10";"0";"36.816";"10";"0"
"5D - 20L";"0.4";"250";"15.559";"-20";"-5";"OK";"15.559";"-20";"-5";"15.559";"-20";"-5"
"5D - 10L";"0.8";"250";"30.348";"-10";"-5";"OK";"30.348";"-10";"-5";"30.348";"-10";"-5"
"5D - V";"2.8";"250";"41.212";"0";"-5";"OK";"41.212";"0";"-5";"41.212";"0";"-5"
"5D - 10R";"0.8";"250";"27.324";"10";"-5";"OK";"27.324";"10";"-5";"27.324";"10";"-5"
"5D - 20R";"0.4";"250";"11.695";"20";"-5";"OK";"11.695";"20";"-5";"11.695";"20";"-5"
"10D - 5L";"0.8";"250";"24.130";"-5";"-10";"OK";"24.130";"-5";"-10";"24.130";"-5";"-10"
"10D - 5R";"0.8";"250";"22.809";"5";"-10";"OK";"22.809";"5";"-10";"22.809";"5";"-10"
"above h-h Visibility";"0.05";"125";"(1.041) 60.576";"(44.1) 0";"(1) 2.8";"OK";"1.041";"44.1";"1";"60.576";"0";"2.8"
"below h-h Visibility";"0.05";"250";"(0.690) 60.727";"(45) -1.5";"(-14.8) -0.2";"OK";"0.690";"45";"-14.8";"60.727";"-1.5";"-0.2"
