sep=;
"Name:";"OV1 DOM HL LED HIGH (OPT ASSY-LED) RH #2 2025-04-02"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2124 V";"Date:";"2025-04-03 ¿ÀÀü 1:23:04"
"Current:";"2.10997 A";"File:";"OV1 DOM HL LED HIGH (OPT ASSY-LED) RH #2 2025-04-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"H - 5L";"5100";"-";"18545.5500";"-5";"0";"OK";"18545.5500";"-5";"0";"18545.5500";"-5";"0"
"H - 2.5L";"20300";"-";"35911.3800";"-2.5";"0";"OK";"35911.3800";"-2.5";"0";"35911.3800";"-2.5";"0"
"H - V";"0.8*MAX";"-";"61805.1600";"0";"0";"OK";"61805.1600";"0";"0";"61805.1600";"0";"0"
"H - 2.5R";"20300";"-";"45888.9800";"2.5";"0";"OK";"45888.9800";"2.5";"0";"45888.9800";"2.5";"0"
"H - 5R";"5100";"-";"18335.6000";"5";"0";"OK";"18335.6000";"5";"0";"18335.6000";"5";"0"
"MAX";"40500";"215000";"61955.1300";"0.13";"0.07";"OK";"61955.1300";"0.13";"0.07";"61955.1300";"0.13";"0.07"
