sep=;
"Name:";"CE FL DOM HL LED DRL (STD ASSY-LED) LH #2 2025-03-21"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.4919 V";"Date:";"2025-03-21 ¿ÀÀü 4:52:05"
"Current:";"0.00008 A";"File:";"CE FL DOM HL LED DRL (STD ASSY-LED) LH #2 2025-03-21"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"970.470";"0";"0";"OK";"970.470";"0";"0";"970.470";"0";"0"
"30min H-V";"-";"-";"940.471";"0";"0";"OK";"940.471";"0";"0";"940.471";"0";"0"
"10U-5L";"80";"1200";"689.269";"-5";"10";"OK";"689.269";"-5";"10";"689.269";"-5";"10"
"10U-V";"80";"1200";"711.678";"0";"10";"OK";"711.678";"0";"10";"711.678";"0";"10"
"10U-5R";"80";"1200";"662.161";"5";"10";"OK";"662.161";"5";"10";"662.161";"5";"10"
"5U-20L";"40";"1200";"276.756";"-20";"5";"OK";"276.756";"-20";"5";"276.756";"-20";"5"
"5U-10L";"80";"1200";"830.954";"-10";"5";"OK";"830.954";"-10";"5";"830.954";"-10";"5"
"5U-V";"280";"1200";"944.808";"0";"5";"OK";"944.808";"0";"5";"944.808";"0";"5"
"5U-10R";"80";"1200";"734.811";"10";"5";"OK";"734.811";"10";"5";"734.811";"10";"5"
"5U-20R";"40";"1200";"298.515";"20";"5";"OK";"298.515";"20";"5";"298.515";"20";"5"
"H-20L";"100";"1200";"283.912";"-20";"0";"OK";"283.912";"-20";"0";"283.912";"-20";"0"
"H-10L";"280";"1200";"820.111";"-10";"0";"OK";"820.111";"-10";"0";"820.111";"-10";"0"
"H-5L";"360";"1200";"875.411";"-5";"0";"OK";"875.411";"-5";"0";"875.411";"-5";"0"
"HV";"400";"1200";"940.109";"0";"0";"OK";"940.109";"0";"0";"940.109";"0";"0"
"H-5R";"360";"1200";"896.736";"5";"0";"OK";"896.736";"5";"0";"896.736";"5";"0"
"H-10R";"280";"1200";"733.365";"10";"0";"OK";"733.365";"10";"0";"733.365";"10";"0"
"H-20R";"100";"1200";"299.780";"20";"0";"OK";"299.780";"20";"0";"299.780";"20";"0"
"5D-20L";"40";"1200";"249.720";"-20";"-5";"OK";"249.720";"-20";"-5";"249.720";"-20";"-5"
"5D-10L";"80";"1200";"634.691";"-10";"-5";"OK";"634.691";"-10";"-5";"634.691";"-10";"-5"
"5D-V";"280";"1200";"738.786";"0";"-5";"OK";"738.786";"0";"-5";"738.786";"0";"-5"
"5D-10R";"80";"1200";"577.945";"10";"-5";"OK";"577.945";"10";"-5";"577.945";"10";"-5"
"5D-20R";"40";"1200";"253.117";"20";"-5";"OK";"253.117";"20";"-5";"253.117";"20";"-5"
"MIN/MAX";"1";"1200";"(232.179) 968.302";"(20) -0.4";"(10) 2.4";"OK";"232.179";"20";"10";"968.302";"-0.4";"2.4"
