sep=;
"Name:";"CE FL DOM HL LED LOW (STD ASSY-LED) LH #2 2025-03-20"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.2144 V";"Date:";"2025-03-20 ¿ÀÈÄ 11:15:08"
"Current:";"0.00011 A";"File:";"CE FL DOM HL LED LOW (STD ASSY-LED) LH #2 2025-03-20"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"B50L";"-";"350";"226.727";"-3.43";"0.57";"OK";"226.727";"-3.43";"0.57";"226.727";"-3.43";"0.57"
"BR";"-";"1750";"282.010";"2.5";"1";"OK";"282.010";"2.5";"1";"282.010";"2.5";"1"
"75R";"10100";"-";"13529.670";"1.15";"-0.57";"OK";"13529.670";"1.15";"-0.57";"13529.670";"1.15";"-0.57"
"75L";"-";"10600";"1074.856";"-3.43";"-0.57";"OK";"1074.856";"-3.43";"-0.57";"1074.856";"-3.43";"-0.57"
"50L";"-";"18500";"2805.102";"-3.43";"-0.86";"OK";"2805.102";"-3.43";"-0.86";"2805.102";"-3.43";"-0.86"
"50R";"10100";"-";"24792.060";"1.72";"-0.86";"OK";"24792.060";"1.72";"-0.86";"24792.060";"1.72";"-0.86"
"50V";"5100";"-";"10013.790";"0";"-0.86";"OK";"10013.790";"0";"-0.86";"10013.790";"0";"-0.86"
"25L";"1700";"-";"11586.290";"-9";"-1.72";"OK";"11586.290";"-9";"-1.72";"11586.290";"-9";"-1.72"
"25R";"1700";"-";"16083.850";"9";"-1.72";"OK";"16083.850";"9";"-1.72";"16083.850";"9";"-1.72"
"1";"-";"625";"189.639";"-8";"4";"OK";"189.639";"-8";"4";"189.639";"-8";"4"
"2";"-";"625";"264.016";"0";"4";"OK";"264.016";"0";"4";"264.016";"0";"4"
"3";"-";"625";"208.333";"8";"4";"OK";"208.333";"8";"4";"208.333";"8";"4"
"4";"-";"625";"251.320";"-4";"2";"OK";"251.320";"-4";"2";"251.320";"-4";"2"
"5";"-";"625";"255.718";"0";"2";"OK";"255.718";"0";"2";"255.718";"0";"2"
"6";"-";"625";"247.421";"4";"2";"OK";"247.421";"4";"2";"247.421";"4";"2"
"7";"65";"625";"288.108";"-8";"0";"OK";"288.108";"-8";"0";"288.108";"-8";"0"
"8";"125";"625";"440.959";"-4";"0";"OK";"440.959";"-4";"0";"440.959";"-4";"0"
"ZONE III";"-";"625";"(175.418) 464.756";"(-8) 0";"(1.6) 0";"OK";"175.418";"-8";"1.6";"464.756";"0";"0"
"ZONE IV";"2500";"-";"(4894.636) 44940.110";"(-5.15) 1.3";"(-0.86) -1.72";"OK";"4894.636";"-5.15";"-0.86";"44940.110";"1.3";"-1.72"
"ZONE I";"-";"2*50R";"(7672.083) 38200.060";"(7.2) 1.4";"(-5) -1.8";"OK";"7672.083";"7.2";"-5";"38200.060";"1.4";"-1.8"
