sep=;
"Name:";"CE FL DOM HL LED PSTN (STD ASSY-LED) LH #2 COLOR 2025-03-21"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5150 V";"Date:";"2025-03-21 ¿ÀÀü 2:35:34"
"Current:";"0.00009 A";"File:";"CE FL DOM HL LED PSTN (STD ASSY-LED) LH #2 COLOR 2025-03-21"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U-5L";"-5";"10";"0.3213";"0.3282";"6052";"OK";"48.7";"";"";"48.7";"";""
"2";"10U-5R";"5";"10";"0.3217";"0.3291";"6028";"OK";"47.3";"";"";"47.3";"";""
"3";"5U-20L";"-20";"5";"0.3139";"0.3195";"6514";"OK";"19.9";"";"";"19.9";"";""
"4";"5U-10L";"-10";"5";"0.3222";"0.3289";"6004";"OK";"59.6";"";"";"59.6";"";""
"5";"5U-V";"0";"5";"0.3242";"0.3316";"5893";"OK";"68.1";"";"";"68.1";"";""
"6";"5U-10R";"10";"5";"0.3243";"0.3325";"5886";"OK";"53.9";"";"";"53.9";"";""
"7";"5U-20R";"20";"5";"0.3209";"0.3292";"6069";"OK";"22.3";"";"";"22.3";"";""
"8";"H-10L";"-10";"0";"0.3215";"0.3278";"6043";"OK";"59.9";"";"";"59.9";"";""
"9";"H-5L";"-5";"0";"0.3229";"0.3297";"5963";"OK";"63.8";"";"";"63.8";"";""
"10";"HV";"0";"0";"0.3239";"0.3310";"5910";"OK";"68.8";"";"";"68.8";"";""
"11";"H-5R";"5";"0";"0.3241";"0.3314";"5899";"OK";"65.8";"";"";"65.8";"";""
"12";"H-10R";"10";"0";"0.3241";"0.3317";"5899";"OK";"54.3";"";"";"54.3";"";""
"13";"5D-20L";"-20";"-5";"0.3129";"0.3183";"6583";"OK";"18.4";"";"";"18.4";"";""
"14";"5D-10L";"-10";"-5";"0.3194";"0.3250";"6167";"OK";"47.5";"";"";"47.5";"";""
"15";"5D-V";"0";"-5";"0.3223";"0.3288";"6000";"OK";"55.2";"";"";"55.2";"";""
"16";"5D-10R";"10";"-5";"0.3224";"0.3294";"5994";"OK";"43.6";"";"";"43.6";"";""
"17";"5D-20R";"20";"-5";"0.3200";"0.3277";"6125";"OK";"19.2";"";"";"19.2";"";""
"18";"10D-5L";"-5";"-10";"0.3192";"0.3254";"6175";"OK";"31.1";"";"";"31.1";"";""
"19";"10D-5R";"5";"-10";"0.3196";"0.3255";"6155";"OK";"31.1";"";"";"31.1";"";""
