sep=;
"Name:";"CE FL DOM HL LED PSTN (STD ASSY-LED) LH #2 1min COLOR 2025-03-21"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5151 V";"Date:";"2025-03-21 ¿ÀÀü 1:35:07"
"Current:";"0.00010 A";"File:";"CE FL DOM HL LED PSTN (STD ASSY-LED) LH #2 1min COLOR 2025-03-21"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U-5L";"-5";"10";"0.3217";"0.3282";"6030";"OK";"48.7";"";"";"48.7";"";""
"2";"10U-5R";"5";"10";"0.3223";"0.3293";"5995";"OK";"47.4";"";"";"47.4";"";""
"3";"5U-20L";"-20";"5";"0.3144";"0.3197";"6483";"OK";"19.8";"";"";"19.8";"";""
"4";"5U-10L";"-10";"5";"0.3224";"0.3287";"5996";"OK";"59.0";"";"";"59.0";"";""
"5";"5U-V";"0";"5";"0.3245";"0.3316";"5878";"OK";"67.6";"";"";"67.6";"";""
"6";"5U-10R";"10";"5";"0.3245";"0.3322";"5877";"OK";"53.3";"";"";"53.3";"";""
"7";"5U-20R";"20";"5";"0.3211";"0.3288";"6059";"OK";"21.9";"";"";"21.9";"";""
"8";"H-10L";"-10";"0";"0.3217";"0.3277";"6033";"OK";"59.0";"";"";"59.0";"";""
"9";"H-5L";"-5";"0";"0.3231";"0.3297";"5956";"OK";"63.0";"";"";"63.0";"";""
"10";"HV";"0";"0";"0.3242";"0.3310";"5895";"OK";"67.9";"";"";"67.9";"";""
"11";"H-5R";"5";"0";"0.3245";"0.3313";"5883";"OK";"65.0";"";"";"65.0";"";""
"12";"H-10R";"10";"0";"0.3243";"0.3316";"5891";"OK";"53.5";"";"";"53.5";"";""
"13";"5D-20L";"-20";"-5";"0.3133";"0.3184";"6555";"OK";"18.2";"";"";"18.2";"";""
"14";"5D-10L";"-10";"-5";"0.3197";"0.3249";"6154";"OK";"46.4";"";"";"46.4";"";""
"15";"5D-V";"0";"-5";"0.3226";"0.3289";"5986";"OK";"54.2";"";"";"54.2";"";""
"16";"5D-10R";"10";"-5";"0.3225";"0.3292";"5988";"OK";"42.7";"";"";"42.7";"";""
"17";"5D-20R";"20";"-5";"0.3200";"0.3277";"6121";"OK";"18.8";"";"";"18.8";"";""
"18";"10D-5L";"-5";"-10";"0.3195";"0.3255";"6160";"OK";"30.5";"";"";"30.5";"";""
"19";"10D-5R";"5";"-10";"0.3199";"0.3255";"6140";"OK";"30.4";"";"";"30.4";"";""
