sep=;
"Name:";"CE FL DOM HL LED PSTN (STD ASSY-LED) LH #2 2025-03-21"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5150 V";"Date:";"2025-03-21 ¿ÀÀü 2:32:22"
"Current:";"0.00010 A";"File:";"CE FL DOM HL LED PSTN (STD ASSY-LED) LH #2 2025-03-21"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"67.843";"0";"0";"OK";"67.843";"0";"0";"67.843";"0";"0"
"30min H-V";"-";"-";"68.421";"0";"0";"OK";"68.421";"0";"0";"68.421";"0";"0"
"10U-5L";"0.8";"140";"48.563";"-5";"10";"OK";"48.563";"-5";"10";"48.563";"-5";"10"
"10U-5R";"0.8";"140";"47.197";"5";"10";"OK";"47.197";"5";"10";"47.197";"5";"10"
"5U-20L";"0.4";"140";"19.767";"-20";"5";"OK";"19.767";"-20";"5";"19.767";"-20";"5"
"5U-10L";"0.8";"140";"59.421";"-10";"5";"OK";"59.421";"-10";"5";"59.421";"-10";"5"
"5U-V";"2.8";"140";"67.806";"0";"5";"OK";"67.806";"0";"5";"67.806";"0";"5"
"5U-10R";"0.8";"140";"53.591";"10";"5";"OK";"53.591";"10";"5";"53.591";"10";"5"
"5U-20R";"0.4";"140";"22.113";"20";"5";"OK";"22.113";"20";"5";"22.113";"20";"5"
"H-10L";"1.4";"140";"59.710";"-10";"0";"OK";"59.710";"-10";"0";"59.710";"-10";"0"
"H-5L";"3.6";"140";"63.397";"-5";"0";"OK";"63.397";"-5";"0";"63.397";"-5";"0"
"HV";"4";"140";"68.457";"0";"0";"OK";"68.457";"0";"0";"68.457";"0";"0"
"H-5R";"3.6";"140";"65.457";"5";"0";"OK";"65.457";"5";"0";"65.457";"5";"0"
"H-10R";"1.4";"140";"53.985";"10";"0";"OK";"53.985";"10";"0";"53.985";"10";"0"
"5D-20L";"0.4";"140";"18.260";"-20";"-5";"OK";"18.260";"-20";"-5";"18.260";"-20";"-5"
"5D-10L";"0.8";"140";"47.183";"-10";"-5";"OK";"47.183";"-10";"-5";"47.183";"-10";"-5"
"5D-V";"2.8";"140";"54.784";"0";"-5";"OK";"54.784";"0";"-5";"54.784";"0";"-5"
"5D-10R";"0.8";"140";"43.330";"10";"-5";"OK";"43.330";"10";"-5";"43.330";"10";"-5"
"5D-20R";"0.4";"140";"19.088";"20";"-5";"OK";"19.088";"20";"-5";"19.088";"20";"-5"
"10D-5L";"0.8";"140";"30.882";"-5";"-10";"OK";"30.882";"-5";"-10";"30.882";"-5";"-10"
"10D-5R";"0.8";"140";"30.903";"5";"-10";"OK";"30.903";"5";"-10";"30.903";"5";"-10"
"MIN/MAX";"0.05";"140";"(0.122) 70.116";"(45) 0.9";"(-15) 2.4";"OK";"0.122";"45";"-15";"70.116";"0.9";"2.4"
