sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW (OPT ASSY-LED)(C MODE) RH#1 COLOR 2025-09-01"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2134 V";"Date:";"2025-09-01 ¿ÀÈÄ 9:35:35"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW (OPT ASSY-LED)(C MODE) RH#1 COLOR 2025-09-01"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1.72D - 9L";"-9";"-1.72";"0.3226";"0.3350";"5964";"OK";"7777.4";"";"";"7777.4";"";""
"1.72D - 5.15L";"-5.14";"-1.72";"0.3248";"0.3376";"5852";"OK";"13769.4";"";"";"13769.4";"";""
"1.72D - V";"0";"-1.72";"0.3207";"0.3325";"6067";"OK";"25536.5";"";"";"25536.5";"";""
"1.72D - 5.15R";"5.14";"-1.72";"0.3250";"0.3391";"5839";"OK";"24195.7";"";"";"24195.7";"";""
"1.72D - 9R";"9";"-1.72";"0.3215";"0.3328";"6026";"OK";"12446.3";"";"";"12446.3";"";""
"4D - 5.14L";"-5.14";"-4";"0.3206";"0.3302";"6081";"OK";"8494.5";"";"";"8494.5";"";""
"4D - V";"0";"-4";"0.3246";"0.3350";"5867";"OK";"10205.8";"";"";"10205.8";"";""
"4D - 5.14R";"5.14";"-4";"0.3230";"0.3323";"5952";"OK";"9694.2";"";"";"9694.2";"";""
