sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW (OPT ASSY-LED)(E MODE) RH#1 COLOR 2025-09-01"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2134 V";"Date:";"2025-09-01 ¿ÀÈÄ 10:14:48"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW (OPT ASSY-LED)(E MODE) RH#1 COLOR 2025-09-01"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1.72D - 9L";"-9";"-1.72";"0.3225";"0.3349";"5968";"OK";"7849.7";"";"";"7849.7";"";""
"1.72D - 5.15L";"-5.14";"-1.72";"0.3249";"0.3373";"5847";"OK";"13892.9";"";"";"13892.9";"";""
"1.72D - V";"0";"-1.72";"0.3208";"0.3324";"6062";"OK";"25739.4";"";"";"25739.4";"";""
"1.72D - 5.15R";"5.14";"-1.72";"0.3249";"0.3391";"5844";"OK";"24425.1";"";"";"24425.1";"";""
"1.72D - 9R";"9";"-1.72";"0.3214";"0.3329";"6030";"OK";"12561.0";"";"";"12561.0";"";""
"4D - 5.14L";"-5.14";"-4";"0.3204";"0.3299";"6092";"OK";"8573.9";"";"";"8573.9";"";""
"4D - V";"0";"-4";"0.3246";"0.3347";"5868";"OK";"10294.0";"";"";"10294.0";"";""
"4D - 5.14R";"5.14";"-4";"0.3232";"0.3318";"5944";"OK";"9773.6";"";"";"9773.6";"";""
