sep=;
"Name:";"JW1 PE HPV DOM HL LED HIGH(STD ASSY-LED) LH#1 2025-09-02"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2131 V";"Date:";"2025-09-03 ¿ÀÀü 12:53:10"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED HIGH(STD ASSY-LED) LH#1 2025-09-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"H - 5L";"5100";"-";"11597.2200";"-5";"0";"OK";"11597.2200";"-5";"0";"11597.2200";"-5";"0"
"H - 2.5L";"20300";"-";"27773.3300";"-2.5";"0";"OK";"27773.3300";"-2.5";"0";"27773.3300";"-2.5";"0"
"H - V";"0.8*MAX";"-";"52297.4500";"0";"0";"OK";"52297.4500";"0";"0";"52297.4500";"0";"0"
"H - 2.5R";"20300";"-";"27283.4500";"2.5";"0";"OK";"27283.4500";"2.5";"0";"27283.4500";"2.5";"0"
"H - 5R";"5100";"-";"13146.8400";"5";"0";"OK";"13146.8400";"5";"0";"13146.8400";"5";"0"
"MAX";"40500";"215000";"53047.2700";"0.08";"-0.35";"OK";"53047.2700";"0.08";"-0.35";"53047.2700";"0.08";"-0.35"
