sep=;
"Name:";"OV1 DOM HL LED HIGH (STD ASSY-LED) RH #2 2025-04-02"
"Number:";""
"Report:";"JO WON JIN"
"Test No.:";""
"Lamp type:";"LED"
"Lamp No.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2122 V";"Date:";"2025-04-03 ¿ÀÀü 1:23:04"
"Current:";"2.18726 A";"File:";"OV1 DOM HL LED HIGH (STD ASSY-LED) RH #2 2025-04-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"H - 5L";"5100";"-";"12477.0000";"-5";"0";"OK";"12477.0000";"-5";"0";"12477.0000";"-5";"0"
"H - 2.5L";"20300";"-";"29622.8900";"-2.5";"0";"OK";"29622.8900";"-2.5";"0";"29622.8900";"-2.5";"0"
"H - V";"0.8*MAX";"-";"57396.2200";"0";"0";"OK";"57396.2200";"0";"0";"57396.2200";"0";"0"
"H - 2.5R";"20300";"-";"26063.7400";"2.5";"0";"OK";"26063.7400";"2.5";"0";"26063.7400";"2.5";"0"
"H - 5R";"5100";"-";"17475.8000";"5";"0";"OK";"17475.8000";"5";"0";"17475.8000";"5";"0"
"MAX";"40500";"215000";"58804.5900";"0.55";"-1.41";"OK";"58804.5900";"0.55";"-1.41";"58804.5900";"0.55";"-1.41"
