sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(C MODE) RH#2 1MIN COLOR 25-09-02"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2132 V";"Date:";"2025-09-03 ¿ÀÀü 1:06:12"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(C MODE) RH#2 1MIN COLOR 25-09-02"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1.72D - 9L";"-9";"-1.72";"0.3229";"0.3362";"5944";"OK";"8226.4";"";"";"8226.4";"";""
"1.72D - 5.15L";"-5.14";"-1.72";"0.3247";"0.3383";"5855";"OK";"14325.1";"";"";"14325.1";"";""
"1.72D - V";"0";"-1.72";"0.3222";"0.3342";"5986";"OK";"26083.4";"";"";"26083.4";"";""
"1.72D - 5.15R";"5.14";"-1.72";"0.3254";"0.3397";"5819";"OK";"25236.6";"";"";"25236.6";"";""
"1.72D - 9R";"9";"-1.72";"0.3216";"0.3336";"6018";"OK";"13187.3";"";"";"13187.3";"";""
"4D - 5.14L";"-5.14";"-4";"0.3199";"0.3299";"6118";"OK";"9332.5";"";"";"9332.5";"";""
"4D - V";"0";"-4";"0.3238";"0.3344";"5907";"OK";"11105.5";"";"";"11105.5";"";""
"4D - 5.14R";"5.14";"-4";"0.3222";"0.3319";"5994";"OK";"10638.0";"";"";"10638.0";"";""
