sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(E MODE) RH#2 1MIN COLOR 25-09-02"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2130 V";"Date:";"2025-09-03 ¿ÀÀü 2:20:46"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(E MODE) RH#2 1MIN COLOR 25-09-02"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1.72D - 9L";"-9";"-1.72";"0.3229";"0.3356";"5948";"OK";"7992.6";"";"";"7992.6";"";""
"1.72D - 5.15L";"-5.14";"-1.72";"0.3250";"0.3376";"5842";"OK";"13954.7";"";"";"13954.7";"";""
"1.72D - V";"0";"-1.72";"0.3214";"0.3328";"6030";"OK";"25739.4";"";"";"25739.4";"";""
"1.72D - 5.15R";"5.14";"-1.72";"0.3254";"0.3396";"5819";"OK";"24980.8";"";"";"24980.8";"";""
"1.72D - 9R";"9";"-1.72";"0.3217";"0.3330";"6015";"OK";"12913.8";"";"";"12913.8";"";""
"4D - 5.14L";"-5.14";"-4";"0.3203";"0.3302";"6096";"OK";"8891.5";"";"";"8891.5";"";""
"4D - V";"0";"-4";"0.3245";"0.3345";"5873";"OK";"10611.5";"";"";"10611.5";"";""
"4D - 5.14R";"5.14";"-4";"0.3227";"0.3323";"5967";"OK";"10152.9";"";"";"10152.9";"";""
