sep=;
"Name:";"CT1 NAS HL LED HIGH (STD ASSY-LED)(2DOWN) RH#1 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-04 ¿ÀÈÄ 8:41:15"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED HIGH (STD ASSY-LED)(2DOWN) RH#1 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"2U - V (120%)";"1800";"-";"10564.3";"0";"2";"";"";"";"OK";"10564.3";"0";"2";"10564.3";"0";"2"
"1U - 3L (120%)";"6000";"-";"19306.4";"-3";"1";"";"";"";"OK";"19306.4";"-3";"1";"19306.4";"-3";"1"
"1U - 3R (120%)";"6000";"-";"20232.4";"3";"1";"";"";"";"OK";"20232.4";"3";"1";"20232.4";"3";"1"
"H - V (120%)";"48000";"60000";"60786.7";"0";"0";"57610.5";"-0.25";"0";"OK";"60786.7";"0";"0";"60786.7";"0";"0"
"H - 3L (120%)";"18000";"-";"32160.7";"-3";"0";"";"";"";"OK";"32160.7";"-3";"0";"32160.7";"-3";"0"
"H - 3R (120%)";"18000";"-";"43431.9";"3";"0";"";"";"";"OK";"43431.9";"3";"0";"43431.9";"3";"0"
"H - 6L (120%)";"6000";"-";"20859.7";"-6";"0";"";"";"";"OK";"20859.7";"-6";"0";"20859.7";"-6";"0"
"H - 6R (120%)";"6000";"-";"21506.9";"6";"0";"";"";"";"OK";"21506.9";"6";"0";"21506.9";"6";"0"
"H - 9L (120%)";"3600";"-";"11311.0";"-9";"0";"";"";"";"OK";"11311.0";"-9";"0";"11311.0";"-9";"0"
"H - 9R (120%)";"3600";"-";"12027.9";"9";"0";"";"";"";"OK";"12027.9";"9";"0";"12027.9";"9";"0"
"H - 12L (120%)";"1800";"-";"7684.7";"-12";"0";"";"";"";"OK";"7684.7";"-12";"0";"7684.7";"-12";"0"
"H - 12R (120%)";"1800";"-";"9907.1";"12";"0";"";"";"";"OK";"9907.1";"12";"0";"9907.1";"12";"0"
"1.5D - V (120%)";"6000";"-";"41818.9";"0";"-1.5";"";"";"";"OK";"41818.9";"0";"-1.5";"41818.9";"0";"-1.5"
"1.5D - 9L (120%)";"2400";"-";"14248.3";"-9";"-1.5";"";"";"";"OK";"14248.3";"-9";"-1.5";"14248.3";"-9";"-1.5"
"1.5D - 9R (120%)";"2400";"-";"18918.1";"9";"-1.5";"";"";"";"OK";"18918.1";"9";"-1.5";"18918.1";"9";"-1.5"
"2.5D - V (120%)";"3000";"-";"19525.4";"0";"-2.5";"";"";"";"OK";"19525.4";"0";"-2.5";"19525.4";"0";"-2.5"
"2.5D - 12L (120%)";"1200";"-";"8503.2";"-12";"-2.5";"";"";"";"OK";"8503.2";"-12";"-2.5";"8503.2";"-12";"-2.5"
"2.5D - 12R (120%)";"1200";"-";"11988.1";"12";"-2.5";"";"";"";"OK";"11988.1";"12";"-2.5";"11988.1";"12";"-2.5"
"4D - V (120%)";"-";"9600";"10305.4";"0";"-4";"9608.4";"0";"-4.25";"NG";"10305.4";"0";"-4";"10305.4";"0";"-4"
"MAX ";"-";"-";"71908.6";"0.47";"-0.46";"";"";"";"OK";"71908.6";"0.47";"-0.46";"71908.6";"0.47";"-0.46"
