sep=;
"Name:";"9BQC MCM NAS HL LED T-SIG (ASSY-LED) LH#3 COLOR 2025-09-11"
"Number:";""
"Report:";"LEE HYEON WOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5153 V";"Date:";"2025-09-12 ¿ÀÀü 2:43:26"
"Current:";"1.13474 A";"File:";"9BQC MCM NAS HL LED T-SIG (ASSY-LED) LH#3 COLOR 2025-09-11"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U  - 5L";"-5";"10";"0.5732";"0.4161";"1687";"OK";"214.9";"";"";"214.9";"";""
"2";"10U  - 5R";"5";"10";"0.5729";"0.4163";"1690";"OK";"172.7";"";"";"172.7";"";""
"3";"5U  - 20L";"-20";"5";"0.5730";"0.4161";"1688";"OK";"155.5";"";"";"155.5";"";""
"4";"5U  - 10L";"-10";"5";"0.5734";"0.4161";"1686";"OK";"305.6";"";"";"305.6";"";""
"5";"5U  - V";"0";"5";"0.5733";"0.4161";"1687";"OK";"357.7";"";"";"357.7";"";""
"6";"5U  - 10R";"10";"5";"0.5730";"0.4161";"1689";"OK";"244.9";"";"";"244.9";"";""
"7";"5U  - 20R";"20";"5";"0.5733";"0.4158";"1685";"OK";"116.8";"";"";"116.8";"";""
"8";"H - 10L";"-10";"0";"0.5734";"0.4160";"1686";"OK";"328.8";"";"";"328.8";"";""
"9";"H - 5L";"-5";"0";"0.5737";"0.4159";"1683";"OK";"429.4";"";"";"429.4";"";""
"10";"H - V";"0";"0";"0.5736";"0.4159";"1684";"OK";"445.1";"";"";"445.1";"";""
"11";"H - 5R";"5";"0";"0.5736";"0.4159";"1684";"OK";"413.1";"";"";"413.1";"";""
"12";"H - 10R";"10";"0";"0.5735";"0.4159";"1684";"OK";"336.7";"";"";"336.7";"";""
"13";"5D  - 20L";"-20";"-5";"0.5730";"0.4160";"1688";"OK";"132.0";"";"";"132.0";"";""
"14";"5D  - 10L";"-10";"-5";"0.5733";"0.4161";"1686";"OK";"290.3";"";"";"290.3";"";""
"15";"5D  - V";"0";"-5";"0.5738";"0.4158";"1682";"OK";"400.5";"";"";"400.5";"";""
"16";"5D  - 10R";"10";"-5";"0.5735";"0.4158";"1684";"OK";"275.4";"";"";"275.4";"";""
"17";"5D  - 20R";"20";"-5";"0.5738";"0.4156";"1681";"OK";"181.8";"";"";"181.8";"";""
"18";"10D - 5L";"-5";"-10";"0.5735";"0.4158";"1684";"OK";"169.8";"";"";"169.8";"";""
"19";"10D - 5R";"5";"-10";"0.5731";"0.4160";"1687";"OK";"139.2";"";"";"139.2";"";""
