sep=;
"Name:";"9BQC MCM NAS HL LED T-SIG (ASSY-LED) LH#3 2025-09-11"
"Number:";""
"Report:";"LEE HYEON WOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5162 V";"Date:";"2025-09-12 ¿ÀÀü 2:40:14"
"Current:";"1.15800 A";"File:";"9BQC MCM NAS HL LED T-SIG (ASSY-LED) LH#3 2025-09-11"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"481.0461";"0";"0";"OK";"481.0461";"0";"0";"481.0461";"0";"0"
"10min H-V";"-";"-";"454.8544";"0";"0";"OK";"454.8544";"0";"0";"454.8544";"0";"0"
"30min H-V";"-";"-";"445.9573";"0";"0";"OK";"445.9573";"0";"0";"445.9573";"0";"0"
"10U  - 5L";"40";"-";"211.3324";"-5";"10";"OK";"211.3324";"-5";"10";"211.3324";"-5";"10"
"10U  - 5R";"40";"-";"170.7454";"5";"10";"OK";"170.7454";"5";"10";"170.7454";"5";"10"
"5U  - 20L";"25";"-";"157.3496";"-20";"5";"OK";"157.3496";"-20";"5";"157.3496";"-20";"5"
"5U  - 10L";"75";"-";"302.4032";"-10";"5";"OK";"302.4032";"-10";"5";"302.4032";"-10";"5"
"5U  - V";"175";"-";"356.5859";"0";"5";"OK";"356.5859";"0";"5";"356.5859";"0";"5"
"5U  - 10R";"75";"-";"241.9226";"10";"5";"OK";"241.9226";"10";"5";"241.9226";"10";"5"
"5U  - 20R";"25";"-";"112.9638";"20";"5";"OK";"112.9638";"20";"5";"112.9638";"20";"5"
"H - 10L";"100";"-";"330.4942";"-10";"0";"OK";"330.4942";"-10";"0";"330.4942";"-10";"0"
"H - 5L";"200";"-";"432.7615";"-5";"0";"OK";"432.7615";"-5";"0";"432.7615";"-5";"0"
"H - V";"200";"-";"445.8573";"0";"0";"OK";"445.8573";"0";"0";"445.8573";"0";"0"
"H - 5R";"200";"-";"409.7689";"5";"0";"OK";"409.7689";"5";"0";"409.7689";"5";"0"
"H - 10R";"100";"-";"329.0947";"10";"0";"OK";"329.0947";"10";"0";"329.0947";"10";"0"
"5D  - 20L";"25";"-";"132.7575";"-20";"-5";"OK";"132.7575";"-20";"-5";"132.7575";"-20";"-5"
"5D  - 10L";"75";"-";"294.3058";"-10";"-5";"OK";"294.3058";"-10";"-5";"294.3058";"-10";"-5"
"5D  - V";"175";"-";"398.2725";"0";"-5";"OK";"398.2725";"0";"-5";"398.2725";"0";"-5"
"5D  - 10R";"75";"-";"264.2154";"10";"-5";"OK";"264.2154";"10";"-5";"264.2154";"10";"-5"
"5D  - 20R";"25";"-";"180.1423";"20";"-5";"OK";"180.1423";"20";"-5";"180.1423";"20";"-5"
"10D - 5L";"40";"-";"168.6460";"-5";"-10";"OK";"168.6460";"-5";"-10";"168.6460";"-5";"-10"
"10D - 5R";"40";"-";"138.4557";"5";"-10";"OK";"138.4557";"5";"-10";"138.4557";"5";"-10"
