sep=;
"Name:";"CE FL DOM HL LED LOW (STD ASSY-LED) LH #1 1min COLOR 2025-03-20"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.2146 V";"Date:";"2025-03-20 ¿ÀÈÄ 8:37:38"
"Current:";"0.00021 A";"File:";"CE FL DOM HL LED LOW (STD ASSY-LED) LH #1 1min COLOR 2025-03-20"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"25L";"-9";"-1.72";"0.3231";"0.3349";"5942";"OK";"7765.2";"";"";"7765.2";"";""
"2";"1.72D - 5.14L";"-5.14";"-1.72";"0.3218";"0.3317";"6013";"OK";"15060.9";"";"";"15060.9";"";""
"3";"1.72D - V";"0";"-1.72";"0.3213";"0.3297";"6046";"OK";"30885.0";"";"";"30885.0";"";""
"4";"1.72D - 5.14R";"5.14";"-1.72";"0.3231";"0.3336";"5945";"OK";"20699.9";"";"";"20699.9";"";""
"5";"25R";"9";"-1.72";"0.3257";"0.3391";"5807";"OK";"12879.4";"";"";"12879.4";"";""
"6";"4D - 5.14L";"-5.14";"-4";"0.3256";"0.3381";"5812";"OK";"17793.9";"";"";"17793.9";"";""
"7";"4D - V";"0";"-4";"0.3257";"0.3383";"5810";"OK";"18185.0";"";"";"18185.0";"";""
"8";"4D - 5.14R";"5.14";"-4";"0.3259";"0.3386";"5797";"OK";"18448.8";"";"";"18448.8";"";""
