sep=;
"Name:";"CE FL DOM HL LED DRL (STD ASSY-LED) LH #1 1min COLOR 2025-03-21"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5119 V";"Date:";"2025-03-21 ¿ÀÀü 5:04:39"
"Current:";"0.00012 A";"File:";"CE FL DOM HL LED DRL (STD ASSY-LED) LH #1 1min COLOR 2025-03-21"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"EMin [lx]";"Hmin [¡Æ]";"Vmin [¡Æ]";"EMax [lx]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U-5L";"-5";"10";"0.3217";"0.3253";"6045";"OK";"0.893";"";"";"0.893";"";""
"2";"10U-V";"0";"10";"0.3220";"0.3257";"6026";"OK";"0.941";"";"";"0.941";"";""
"3";"10U-5R";"5";"10";"0.3223";"0.3262";"6009";"OK";"0.868";"";"";"0.868";"";""
"4";"5U-20L";"-20";"5";"0.3165";"0.3186";"6367";"OK";"0.362";"";"";"0.362";"";""
"5";"5U-10L";"-10";"5";"0.3218";"0.3251";"6036";"OK";"0.931";"";"";"0.931";"";""
"6";"5U-V";"0";"5";"0.3237";"0.3276";"5930";"OK";"1.168";"";"";"1.168";"";""
"7";"5U-10R";"10";"5";"0.3236";"0.3277";"5935";"OK";"0.880";"";"";"0.880";"";""
"8";"5U-20R";"20";"5";"0.3218";"0.3254";"6037";"OK";"0.372";"";"";"0.372";"";""
"9";"H-20L";"-20";"0";"0.3164";"0.3182";"6378";"OK";"0.361";"";"";"0.361";"";""
"10";"H-10L";"-10";"0";"0.3214";"0.3243";"6061";"OK";"0.908";"";"";"0.908";"";""
"11";"H-5L";"-5";"0";"0.3226";"0.3258";"5993";"OK";"1.063";"";"";"1.063";"";""
"12";"HV";"0";"0";"0.3234";"0.3268";"5950";"OK";"1.147";"";"";"1.147";"";""
"13";"H-5R";"5";"0";"0.3235";"0.3272";"5942";"OK";"1.071";"";"";"1.071";"";""
"14";"H-10R";"10";"0";"0.3231";"0.3268";"5964";"OK";"0.860";"";"";"0.860";"";""
"15";"H-20R";"20";"0";"0.3215";"0.3248";"6056";"OK";"0.363";"";"";"0.363";"";""
"16";"5D-20L";"-20";"-5";"0.3158";"0.3172";"6418";"OK";"0.315";"";"";"0.315";"";""
"17";"5D-10L";"-10";"-5";"0.3202";"0.3226";"6136";"OK";"0.748";"";"";"0.748";"";""
"18";"5D-V";"0";"-5";"0.3218";"0.3247";"6042";"OK";"0.925";"";"";"0.925";"";""
"19";"5D-10R";"10";"-5";"0.3218";"0.3248";"6040";"OK";"0.690";"";"";"0.690";"";""
"20";"5D-20R";"20";"-5";"0.3204";"0.3231";"6123";"OK";"0.300";"";"";"0.300";"";""
