sep=;
"Name:";"CE FL DOM HL LED DRL (STD ASSY-LED) LH #1 COLOR 2025-03-21"
"Number:";""
"Report:";"GO YUN SOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5147 V";"Date:";"2025-03-21 ¿ÀÀü 5:48:27"
"Current:";"0.00011 A";"File:";"CE FL DOM HL LED DRL (STD ASSY-LED) LH #1 COLOR 2025-03-21"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"EMin [lx]";"Hmin [¡Æ]";"Vmin [¡Æ]";"EMax [lx]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U-5L";"-5";"10";"0.3213";"0.3238";"6073";"OK";"0.846";"";"";"0.846";"";""
"2";"10U-V";"0";"10";"0.3216";"0.3243";"6055";"OK";"0.891";"";"";"0.891";"";""
"3";"10U-5R";"5";"10";"0.3219";"0.3248";"6036";"OK";"0.822";"";"";"0.822";"";""
"4";"5U-20L";"-20";"5";"0.3161";"0.3174";"6402";"OK";"0.343";"";"";"0.343";"";""
"5";"5U-10L";"-10";"5";"0.3215";"0.3239";"6061";"OK";"0.888";"";"";"0.888";"";""
"6";"5U-V";"0";"5";"0.3233";"0.3263";"5957";"OK";"1.113";"";"";"1.113";"";""
"7";"5U-10R";"10";"5";"0.3233";"0.3265";"5955";"OK";"0.836";"";"";"0.836";"";""
"8";"5U-20R";"20";"5";"0.3214";"0.3242";"6065";"OK";"0.350";"";"";"0.350";"";""
"9";"H-20L";"-20";"0";"0.3159";"0.3170";"6415";"OK";"0.344";"";"";"0.344";"";""
"10";"H-10L";"-10";"0";"0.3210";"0.3231";"6088";"OK";"0.869";"";"";"0.869";"";""
"11";"H-5L";"-5";"0";"0.3221";"0.3246";"6025";"OK";"1.017";"";"";"1.017";"";""
"12";"HV";"0";"0";"0.3229";"0.3256";"5978";"OK";"1.097";"";"";"1.097";"";""
"13";"H-5R";"5";"0";"0.3231";"0.3260";"5967";"OK";"1.025";"";"";"1.025";"";""
"14";"H-10R";"10";"0";"0.3227";"0.3257";"5990";"OK";"0.820";"";"";"0.820";"";""
"15";"H-20R";"20";"0";"0.3210";"0.3236";"6085";"OK";"0.344";"";"";"0.344";"";""
"16";"5D-20L";"-20";"-5";"0.3154";"0.3162";"6451";"OK";"0.302";"";"";"0.302";"";""
"17";"5D-10L";"-10";"-5";"0.3197";"0.3215";"6167";"OK";"0.716";"";"";"0.716";"";""
"18";"5D-V";"0";"-5";"0.3213";"0.3235";"6073";"OK";"0.885";"";"";"0.885";"";""
"19";"5D-10R";"10";"-5";"0.3213";"0.3238";"6070";"OK";"0.659";"";"";"0.659";"";""
"20";"5D-20R";"20";"-5";"0.3199";"0.3220";"6153";"OK";"0.285";"";"";"0.285";"";""
