sep=;
"Name:";"CT1 NAS HL LED LOW (STD ASSY-LED)(2UP) RH#2 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-04 ¿ÀÈÄ 10:46:48"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED LOW (STD ASSY-LED)(2UP) RH#2 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U 90U (120%)";"0";"100";"(0.3) 57.0";"(-90) 2";"10";"";"";"";"OK";"0.3";"-90";"10";"57.0";"2";"10"
"4U - 8R (120%)";"76.8";"-";"298.4";"8";"4";"";"";"";"OK";"298.4";"8";"4";"298.4";"8";"4"
"4U - 8L (120%)";"76.8";"-";"281.1";"-8";"4";"";"";"";"OK";"281.1";"-8";"4";"281.1";"-8";"4"
"2U-4L (120%)";"162";"-";"442.6";"-4";"2";"";"";"";"OK";"442.6";"-4";"2";"442.6";"-4";"2"
"1.5U - 1R to 3R (120%)";"240";"-";"(584.7) 658.0";"(3) 1.5";"1.5";"";"";"";"OK";"584.7";"3";"1.5";"658.0";"1.5";"1.5"
"1.5U - 1R to R (120%)";"-";"1120";"(57.7) 657.3";"(20) 1.5";"1.5";"";"";"";"OK";"57.7";"20";"1.5";"657.3";"1.5";"1.5"
"1U - 1.5L to L (120%)";"-";"560";"(41.1) 451.3";"(-20) -1.5";"1";"";"";"";"OK";"41.1";"-20";"1";"451.3";"-1.5";"1"
"0.5U - 1.5L to L (120%)";"-";"800";"(110.3) 471.0";"(-15) -6.75";"0.5";"";"";"";"OK";"110.3";"-15";"0.5";"471.0";"-6.75";"0.5"
"0.5U - 1R to 3R (120%)";"600";"-";"(990.3) 1136.1";"(3) 1";"0.5";"";"";"";"OK";"990.3";"3";"0.5";"1136.1";"1";"0.5"
"0.5U - 1R to 3R (120%)";"-";"2160";"(992.5) 1137.1";"(3) 1";"0.5";"";"";"";"OK";"992.5";"3";"0.5";"1137.1";"1";"0.5"
"H - 4L (120%)";"162";"-";"1718.6";"-4";"0";"";"";"";"OK";"1718.6";"-4";"0";"1718.6";"-4";"0"
"H - 8L (120%)";"76.8";"-";"4398.9";"-8";"0";"";"";"";"OK";"4398.9";"-8";"0";"4398.9";"-8";"0"
"1.5D - 2R (120%)";"18000";"-";"37218.8";"2";"-1.5";"";"";"";"OK";"37218.8";"2";"-1.5";"37218.8";"2";"-1.5"
"2D - 15L (120%)";"1200";"-";"8752.1";"-15";"-2";"";"";"";"OK";"8752.1";"-15";"-2";"8752.1";"-15";"-2"
"2D - 15R (120%)";"1200";"-";"10763.4";"15";"-2";"";"";"";"OK";"10763.4";"15";"-2";"10763.4";"15";"-2"
"4D - 4R (120%)";"-";"10000";"11370.8";"4";"-4";"10066.4";"4";"-4.25";"NG";"11370.8";"4";"-4";"11370.8";"4";"-4"
"0.6D - 1.3R (120%)";"12000";"-";"31623.0";"1.3";"-0.6";"";"";"";"OK";"31623.0";"1.3";"-0.6";"31623.0";"1.3";"-0.6"
"0.86D - V (120%)";"5400";"-";"34699.7";"0";"-0.86";"";"";"";"OK";"34699.7";"0";"-0.86";"34699.7";"0";"-0.86"
"0.86D - 3.5L (120%)";"2160";"9600";"14059.1";"-3.5";"-0.86";"8244.3";"-3.5";"-0.61";"OK";"14059.1";"-3.5";"-0.86";"14059.1";"-3.5";"-0.86"
"2D - 9L (120%)";"1500";"-";"14696.4";"-9";"-2";"";"";"";"OK";"14696.4";"-9";"-2";"14696.4";"-9";"-2"
"2D - 9R (120%)";"1500";"-";"17633.6";"9";"-2";"";"";"";"OK";"17633.6";"9";"-2";"17633.6";"9";"-2"
"4D - 20L (120%)";"360";"-";"2061.1";"-20";"-4";"";"";"";"OK";"2061.1";"-20";"-4";"2061.1";"-20";"-4"
"4D - 20R (120%)";"360";"-";"5205.5";"20";"-4";"";"";"";"OK";"5205.5";"20";"-4";"5205.5";"20";"-4"
"4D - V (120%)";"-";"9600";"10414.9";"0";"-4";"9060.8";"0";"-4.25";"OK";"10414.9";"0";"-4";"10414.9";"0";"-4"
"MAX";"-";"-";"37925.7";"1.9";"-1.26";"";"";"";"OK";"37925.7";"1.9";"-1.26";"37925.7";"1.9";"-1.26"
