sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
192;1910.031;59243.410;-0.55
193;1920.031;59243.410;-0.55
194;1930.031;59213.540;-0.60
195;1940.031;59193.630;-0.64
196;1950.031;59173.710;-0.67
197;1960.031;59153.800;-0.71
198;1970.031;59133.880;-0.74
199;1980.031;59113.970;-0.77
200;1990.031;59094.050;-0.81
201;2000.031;59054.230;-0.88
202;2010.031;59054.230;-0.88
203;2020.031;59024.360;-0.93
204;2030.031;59004.440;-0.96
205;2040.031;58984.530;-1.00
206;2050.031;58964.620;-1.03
207;2060.031;58954.660;-1.05
208;2070.031;58924.790;-1.10
209;2080.031;58904.880;-1.14
210;2090.031;58875.000;-1.19
211;2100.031;58875.000;-1.19
212;2110.031;58825.220;-1.27
213;2120.031;58815.260;-1.29
214;2130.031;58805.300;-1.31
215;2140.031;58805.300;-1.31
216;2150.031;58775.430;-1.36
217;2160.031;58745.560;-1.41
218;2170.031;58725.650;-1.45
219;2180.031;58725.650;-1.45
220;2190.031;58705.740;-1.48
221;2200.031;58695.780;-1.50
222;2210.031;58646.000;-1.58
223;2220.031;58655.950;-1.57
224;2230.031;58636.040;-1.60
225;2240.031;58606.170;-1.65
226;2250.031;58606.170;-1.65
227;2260.031;58586.250;-1.69
228;2270.031;58576.300;-1.70
229;2280.031;58546.430;-1.76
230;2290.031;58516.550;-1.81
231;2300.031;58496.640;-1.84
232;2310.031;58486.680;-1.86
233;2320.031;58476.730;-1.88
234;2330.031;58466.770;-1.89
235;2340.031;58446.860;-1.93
236;2350.031;58436.900;-1.95
237;2360.031;58407.030;-2.00
238;2370.031;58397.070;-2.01
239;2380.031;58377.160;-2.05
240;2390.031;58357.250;-2.08
241;2400.031;58337.330;-2.12
242;2410.031;58327.380;-2.13
243;2420.031;58317.420;-2.15
244;2430.031;58297.500;-2.19
245;2440.031;58277.590;-2.22
246;2450.031;58257.680;-2.26
247;2460.031;58237.760;-2.29
248;2470.031;58207.890;-2.34
249;2480.031;58207.890;-2.34
250;2490.031;58187.980;-2.38
251;2500.031;58168.070;-2.41
252;2510.031;58158.110;-2.43
253;2520.031;58138.200;-2.46
254;2530.031;58128.240;-2.48
255;2540.031;58118.280;-2.50
256;2550.031;58108.320;-2.51
257;2560.031;58098.370;-2.53
258;2570.031;58068.500;-2.58
259;2580.031;58048.580;-2.62
260;2590.031;58038.630;-2.63
261;2600.031;58028.670;-2.65
262;2610.031;58008.750;-2.69
263;2620.031;57988.840;-2.72
264;2630.031;57988.840;-2.72
265;2640.031;57958.970;-2.77
266;2650.031;57958.970;-2.77
267;2660.031;57919.140;-2.84
268;2670.031;57929.100;-2.82
269;2680.031;57909.190;-2.86
270;2690.031;57889.270;-2.89
271;2700.031;57879.320;-2.91
272;2710.031;57879.320;-2.91
273;2720.031;57859.400;-2.94
274;2730.031;57839.490;-2.98
275;2740.031;57829.530;-3.00
