sep=;
"Name:";"CT1 NAS HL LED LOW (STD ASSY-LED) RH#2 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-04 ¿ÀÈÄ 9:15:38"
"Current:";"0.00085 A";"File:";"CT1 NAS HL LED LOW (STD ASSY-LED) RH#2 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U 90U (120%)";"0";"100";"(0.3) 76.4";"(-90) 1.7";"10";"";"";"";"OK";"0.3";"-90";"10";"76.4";"1.7";"10"
"4U - 8R (120%)";"76.8";"-";"339.3";"8";"4";"";"";"";"OK";"339.3";"8";"4";"339.3";"8";"4"
"4U - 8L (120%)";"76.8";"-";"309.1";"-8";"4";"";"";"";"OK";"309.1";"-8";"4";"309.1";"-8";"4"
"2U-4L (120%)";"162";"-";"479.8";"-4";"2";"";"";"";"OK";"479.8";"-4";"2";"479.8";"-4";"2"
"1.5U - 1R to 3R (120%)";"240";"-";"(654.1) 718.2";"(3) 1.5";"1.5";"";"";"";"OK";"654.1";"3";"1.5";"718.2";"1.5";"1.5"
"1.5U - 1R to R (120%)";"-";"1120";"(61.3) 716.1";"(20) 1.5";"1.5";"";"";"";"OK";"61.3";"20";"1.5";"716.1";"1.5";"1.5"
"1U - 1.5L to L (120%)";"-";"560";"(42.1) 372.9";"(-20) -1.5";"1";"";"";"";"OK";"42.1";"-20";"1";"372.9";"-1.5";"1"
"0.5U - 1.5L to L (120%)";"-";"800";"(142.2) 653.3";"(-15) -6.75";"0.5";"";"";"";"OK";"142.2";"-15";"0.5";"653.3";"-6.75";"0.5"
"0.5U - 1R to 3R (120%)";"600";"-";"(1194.6) 1346.8";"(3) 1";"0.5";"";"";"";"OK";"1194.6";"3";"0.5";"1346.8";"1";"0.5"
"0.5U - 1R to 3R (120%)";"-";"2160";"(1195.8) 1346.8";"(3) 1";"0.5";"";"";"";"OK";"1195.8";"3";"0.5";"1346.8";"1";"0.5"
"H - 4L (120%)";"162";"-";"2087.0";"-4";"0";"";"";"";"OK";"2087.0";"-4";"0";"2087.0";"-4";"0"
"H - 8L (120%)";"76.8";"-";"6921.0";"-8";"0";"";"";"";"OK";"6921.0";"-8";"0";"6921.0";"-8";"0"
"1.5D - 2R (120%)";"18000";"-";"37766.4";"2";"-1.5";"";"";"";"OK";"37766.4";"2";"-1.5";"37766.4";"2";"-1.5"
"2D - 15L (120%)";"1200";"-";"8841.7";"-15";"-2";"";"";"";"OK";"8841.7";"-15";"-2";"8841.7";"-15";"-2"
"2D - 15R (120%)";"1200";"-";"11101.9";"15";"-2";"";"";"";"OK";"11101.9";"15";"-2";"11101.9";"15";"-2"
"4D - 4R (120%)";"-";"10000";"10863.0";"4";"-4";"9588.5";"4";"-4.25";"OK";"10863.0";"4";"-4";"10863.0";"4";"-4"
"0.6D - 1.3R (120%)";"12000";"-";"36591.5";"1.3";"-0.6";"";"";"";"OK";"36591.5";"1.3";"-0.6";"36591.5";"1.3";"-0.6"
"0.86D - V (120%)";"5400";"-";"36959.9";"0";"-0.86";"";"";"";"OK";"36959.9";"0";"-0.86";"36959.9";"0";"-0.86"
"0.86D - 3.5L (120%)";"2160";"9600";"18171.3";"-3.5";"-0.86";"11012.3";"-3.5";"-0.61";"NG";"18171.3";"-3.5";"-0.86";"18171.3";"-3.5";"-0.86"
"2D - 9L (120%)";"1500";"-";"15522.8";"-9";"-2";"";"";"";"OK";"15522.8";"-9";"-2";"15522.8";"-9";"-2"
"2D - 9R (120%)";"1500";"-";"19366.1";"9";"-2";"";"";"";"OK";"19366.1";"9";"-2";"19366.1";"9";"-2"
"4D - 20L (120%)";"360";"-";"2215.4";"-20";"-4";"";"";"";"OK";"2215.4";"-20";"-4";"2215.4";"-20";"-4"
"4D - 20R (120%)";"360";"-";"5156.7";"20";"-4";"";"";"";"OK";"5156.7";"20";"-4";"5156.7";"20";"-4"
"4D - V (120%)";"-";"9600";"9887.2";"0";"-4";"8503.2";"0";"-4.25";"OK";"9887.2";"0";"-4";"9887.2";"0";"-4"
"MAX";"-";"-";"38831.8";"2.11";"-1.11";"";"";"";"OK";"38831.8";"2.11";"-1.11";"38831.8";"2.11";"-1.11"
