"Name:";"CT1 NAS HL LED PSTN (STD ASSY-LED) LH #3 2025-07-01"
"Number:";""
"Report:";"Hwang Ji Hoon"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"13.5030 V";"Date:";"2025-07-02 오전 10:08:46"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED PSTN (STD ASSY-LED) LH #3 2025-07-01"
"Comment:";"PWM센서 사용. "

"Functions";"Min";"Max";"I [cd]";"H[°]";"V[°]";"N.O.K.";"Imin [cd]";"Hmin [°]";"Vmin [°]";"Imax [cd]";"Hmax [°]";"Vmax [°]"
"1min H-V";"-";"-";"90.013";"0";"0";"OK";"90.013";"0";"0";"90.013";"0";"0"
"30min H-V";"-";"-";"90.113";"0";"0";"OK";"90.113";"0";"0";"90.113";"0";"0"
"10U - 5L";"0.8";"125";"72.190";"-5";"10";"OK";"72.190";"-5";"10";"72.190";"-5";"10"
"10U - 5R";"0.8";"125";"72.391";"5";"10";"OK";"72.391";"5";"10";"72.391";"5";"10"
"5U - 20L";"0.4";"125";"32.330";"-20";"5";"OK";"32.330";"-20";"5";"32.330";"-20";"5"
"5U - 10L";"0.8";"125";"66.804";"-10";"5";"OK";"66.804";"-10";"5";"66.804";"-10";"5"
"5U - V";"2.8";"125";"93.016";"0";"5";"OK";"93.016";"0";"5";"93.016";"0";"5"
"5U - 10R";"0.8";"125";"62.268";"10";"5";"OK";"62.268";"10";"5";"62.268";"10";"5"
"5U - 20R";"0.4";"125";"25.272";"20";"5";"OK";"25.272";"20";"5";"25.272";"20";"5"
"H - 10L";"1.4";"125";"63.359";"-10";"0";"OK";"63.359";"-10";"0";"63.359";"-10";"0"
"H - 5L";"3.6";"125";"80.701";"-5";"0";"OK";"80.701";"-5";"0";"80.701";"-5";"0"
"H - V";"4";"125";"90.113";"0";"0";"OK";"90.113";"0";"0";"90.113";"0";"0"
"H - 5R";"3.6";"125";"81.202";"5";"0";"OK";"81.202";"5";"0";"81.202";"5";"0"
"H - 10R";"1.4";"125";"60.205";"10";"0";"OK";"60.205";"10";"0";"60.205";"10";"0"
"5D - 20L";"0.4";"250";"25.572";"-20";"-5";"OK";"25.572";"-20";"-5";"25.572";"-20";"-5"
"5D - 10L";"0.8";"250";"47.119";"-10";"-5";"OK";"47.119";"-10";"-5";"47.119";"-10";"-5"
"5D - V";"2.8";"250";"64.751";"0";"-5";"OK";"64.751";"0";"-5";"64.751";"0";"-5"
"5D - 10R";"0.8";"250";"44.766";"10";"-5";"OK";"44.766";"10";"-5";"44.766";"10";"-5"
"5D - 20R";"0.4";"250";"18.794";"20";"-5";"OK";"18.794";"20";"-5";"18.794";"20";"-5"
"10D - 5L";"0.8";"250";"36.866";"-5";"-10";"OK";"36.866";"-5";"-10";"36.866";"-5";"-10"
"10D - 5R";"0.8";"250";"36.966";"5";"-10";"OK";"36.966";"5";"-10";"36.966";"5";"-10"
"above h-h Visibility";"0.05";"125";"(1.802) 95.119";"(45) -0.4";"(2) 2.8";"OK";"1.802";"45";"2";"95.119";"-0.4";"2.8"
"below h-h Visibility";"0.05";"250";"(1.121) 90.013";"(44.7) 2.4";"(-14.8) -0.01";"OK";"1.121";"44.7";"-14.8";"90.013";"2.4";"-0.01"
