sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(C MODE) LH#1 1MIN COLOR 25-09-01"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2129 V";"Date:";"2025-09-02 ¿ÀÀü 1:42:35"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(C MODE) LH#1 1MIN COLOR 25-09-01"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1.72D - 9L";"-9";"-1.72";"0.3248";"0.3388";"5849";"OK";"11140.8";"";"";"11140.8";"";""
"1.72D - 5.15L";"-5.14";"-1.72";"0.3240";"0.3362";"5893";"OK";"20649.7";"";"";"20649.7";"";""
"1.72D - V";"0";"-1.72";"0.3250";"0.3392";"5839";"OK";"25518.9";"";"";"25518.9";"";""
"1.72D - 5.15R";"5.14";"-1.72";"0.3260";"0.3404";"5790";"OK";"14686.8";"";"";"14686.8";"";""
"1.72D - 9R";"9";"-1.72";"0.3249";"0.3405";"5841";"OK";"8282.8";"";"";"8282.8";"";""
"4D - 5.14L";"-5.14";"-4";"0.3224";"0.3330";"5980";"OK";"9941.2";"";"";"9941.2";"";""
"4D - V";"0";"-4";"0.3236";"0.3348";"5916";"OK";"10488.1";"";"";"10488.1";"";""
"4D - 5.14R";"5.14";"-4";"0.3202";"0.3309";"6099";"OK";"8741.5";"";"";"8741.5";"";""
