sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW (OPT ASSY-LED)(C MODE) LH#1 COLOR 2025-09-01"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2131 V";"Date:";"2025-09-02 ¿ÀÀü 2:30:16"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW (OPT ASSY-LED)(C MODE) LH#1 COLOR 2025-09-01"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1.72D - 9L";"-9";"-1.72";"0.3248";"0.3381";"5850";"OK";"10770.3";"";"";"10770.3";"";""
"1.72D - 5.15L";"-5.14";"-1.72";"0.3227";"0.3337";"5963";"OK";"19917.6";"";"";"19917.6";"";""
"1.72D - V";"0";"-1.72";"0.3243";"0.3376";"5875";"OK";"24513.3";"";"";"24513.3";"";""
"1.72D - 5.15R";"5.14";"-1.72";"0.3263";"0.3402";"5777";"OK";"14025.2";"";"";"14025.2";"";""
"1.72D - 9R";"9";"-1.72";"0.3256";"0.3414";"5808";"OK";"7868.2";"";"";"7868.2";"";""
"4D - 5.14L";"-5.14";"-4";"0.3223";"0.3327";"5986";"OK";"9297.2";"";"";"9297.2";"";""
"4D - V";"0";"-4";"0.3239";"0.3347";"5902";"OK";"9844.1";"";"";"9844.1";"";""
"4D - 5.14R";"5.14";"-4";"0.3206";"0.3310";"6078";"OK";"8185.8";"";"";"8185.8";"";""
