sep=;
"Name:";"JW1 PE HPV DOM HL LED HIGH (OPT ASSY-LED) LH#1 2025-09-01"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2134 V";"Date:";"2025-09-02 ¿ÀÀü 4:32:36"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED HIGH (OPT ASSY-LED) LH#1 2025-09-01"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"H / V";"0";"0";"55686.6300";"0";"0";"OK";"55686.6300";"0";"0";"55686.6300";"0";"0"
"MAX";"40500";"215000";"57150.2800";"1";"-0.45";"OK";"57150.2800";"1";"-0.45";"57150.2800";"1";"-0.45"
"H-5L";"5100";"-";"33491.9600";"-5";"0";"OK";"33491.9600";"-5";"0";"33491.9600";"-5";"0"
"H-2.5L";"20300";"-";"44629.2900";"-2.5";"0";"OK";"44629.2900";"-2.5";"0";"44629.2900";"-2.5";"0"
"H-2.5R";"20300";"-";"51777.5700";"2.5";"0";"OK";"51777.5700";"2.5";"0";"51777.5700";"2.5";"0"
"H-5R";"5100";"-";"43349.5900";"5";"0";"OK";"43349.5900";"5";"0";"43349.5900";"5";"0"
