sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(E MODE) LH#1 1MIN COLOR 25-09-01"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2132 V";"Date:";"2025-09-02 ¿ÀÀü 3:02:54"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(E MODE) LH#1 1MIN COLOR 25-09-01"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1.72D - 9L";"-9";"-1.72";"0.3249";"0.3381";"5846";"OK";"10849.7";"";"";"10849.7";"";""
"1.72D - 5.15L";"-5.14";"-1.72";"0.3232";"0.3341";"5937";"OK";"19908.8";"";"";"19908.8";"";""
"1.72D - V";"0";"-1.72";"0.3248";"0.3381";"5850";"OK";"24486.8";"";"";"24486.8";"";""
"1.72D - 5.15R";"5.14";"-1.72";"0.3262";"0.3402";"5781";"OK";"14175.2";"";"";"14175.2";"";""
"1.72D - 9R";"9";"-1.72";"0.3251";"0.3404";"5832";"OK";"8035.8";"";"";"8035.8";"";""
"4D - 5.14L";"-5.14";"-4";"0.3223";"0.3326";"5986";"OK";"9403.1";"";"";"9403.1";"";""
"4D - V";"0";"-4";"0.3236";"0.3343";"5917";"OK";"9923.5";"";"";"9923.5";"";""
"4D - 5.14R";"5.14";"-4";"0.3205";"0.3310";"6083";"OK";"8318.1";"";"";"8318.1";"";""
