sep=;
"Name:";"JW1 PE HPV DOM HL LED HIGH (OPT ASSY-LED) LH#1 COLOR 2025-09-01"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2130 V";"Date:";"2025-09-02 ¿ÀÀü 4:33:19"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED HIGH (OPT ASSY-LED) LH#1 COLOR 2025-09-01"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"H-V";"0";"0";"0.3240";"0.3277";"5916";"OK";"53031.3";"";"";"53031.3";"";""
"H-5L";"-5";"0";"0.3264";"0.3310";"5788";"OK";"34004.6";"";"";"34004.6";"";""
"H-2.5L";"-2.5";"0";"0.3257";"0.3307";"5823";"OK";"46512.6";"";"";"46512.6";"";""
"H-2.5R";"2.5";"0";"0.3258";"0.3308";"5818";"OK";"51311.2";"";"";"51311.2";"";""
"H-5R";"5";"0";"0.3267";"0.3329";"5770";"OK";"41767.0";"";"";"41767.0";"";""
