sep=;
"Name:";"JW1 PE HPV DOM HL LED HIGH(OPT ASSY-LED) LH#2 2025-09-02"
"Number:";""
"Report:";"JO WON JIN"
"Test No.:";""
"Lamp type:";"LED"
"Lamp No.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2131 V";"Date:";"2025-09-02 ¿ÀÈÄ 11:03:49"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED HIGH(OPT ASSY-LED) LH#2 2025-09-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"H / V";"0";"0";"56146.5200";"0";"0";"OK";"56146.5200";"0";"0";"56146.5200";"0";"0"
"MAX";"40500";"215000";"58911.8600";"1.05";"-0.45";"OK";"58911.8600";"1.05";"-0.45";"58911.8600";"1.05";"-0.45"
"H-5L";"5100";"-";"34421.7400";"-5";"0";"OK";"34421.7400";"-5";"0";"34421.7400";"-5";"0"
"H-2.5L";"20300";"-";"46538.8300";"-2.5";"0";"OK";"46538.8300";"-2.5";"0";"46538.8300";"-2.5";"0"
"H-2.5R";"20300";"-";"53967.0500";"2.5";"0";"OK";"53967.0500";"2.5";"0";"53967.0500";"2.5";"0"
"H-5R";"5100";"-";"45429.0900";"5";"0";"OK";"45429.0900";"5";"0";"45429.0900";"5";"0"
