sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(E MODE) LH#2 COLOR 2025-09-02"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2131 V";"Date:";"2025-09-02 ¿ÀÈÄ 9:50:43"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(E MODE) LH#2 COLOR 2025-09-02"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1.72D - 9L";"-9";"-1.72";"0.3252";"0.3381";"5832";"OK";"10840.9";"";"";"10840.9";"";""
"1.72D - 5.15L";"-5.14";"-1.72";"0.3251";"0.3377";"5837";"OK";"20305.7";"";"";"20305.7";"";""
"1.72D - V";"0";"-1.72";"0.3276";"0.3445";"5712";"OK";"25765.9";"";"";"25765.9";"";""
"1.72D - 5.15R";"5.14";"-1.72";"0.3264";"0.3411";"5771";"OK";"15286.6";"";"";"15286.6";"";""
"1.72D - 9R";"9";"-1.72";"0.3238";"0.3372";"5900";"OK";"7982.9";"";"";"7982.9";"";""
"4D - 5.14L";"-5.14";"-4";"0.3202";"0.3290";"6107";"OK";"8891.5";"";"";"8891.5";"";""
"4D - V";"0";"-4";"0.3239";"0.3327";"5907";"OK";"9297.2";"";"";"9297.2";"";""
"4D - 5.14R";"5.14";"-4";"0.3191";"0.3276";"6171";"OK";"7850.6";"";"";"7850.6";"";""
