sep=;
"Name:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(C MODE) LH#2 1MIN COLOR 25-09-02"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2134 V";"Date:";"2025-09-02 ¿ÀÈÄ 8:05:09"
"Current:";"0.00000 A";"File:";"JW1 PE HPV DOM HL LED LOW(OPT ASSY-LED)(C MODE) LH#2 1MIN COLOR 25-09-02"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1.72D - 9L";"-9";"-1.72";"0.3255";"0.3389";"5816";"OK";"11167.3";"";"";"11167.3";"";""
"1.72D - 5.15L";"-5.14";"-1.72";"0.3262";"0.3398";"5782";"OK";"20843.8";"";"";"20843.8";"";""
"1.72D - V";"0";"-1.72";"0.3281";"0.3448";"5690";"OK";"26295.1";"";"";"26295.1";"";""
"1.72D - 5.15R";"5.14";"-1.72";"0.3266";"0.3414";"5761";"OK";"15630.6";"";"";"15630.6";"";""
"1.72D - 9R";"9";"-1.72";"0.3238";"0.3375";"5899";"OK";"8256.4";"";"";"8256.4";"";""
"4D - 5.14L";"-5.14";"-4";"0.3202";"0.3293";"6105";"OK";"9606.0";"";"";"9606.0";"";""
"4D - V";"0";"-4";"0.3240";"0.3336";"5900";"OK";"10038.2";"";"";"10038.2";"";""
"4D - 5.14R";"5.14";"-4";"0.3193";"0.3278";"6159";"OK";"8485.7";"";"";"8485.7";"";""
