sep=;
"Name:";"OV1 DOM HL LED HIGH (STD ASSY-LED) LH #2 2025-04-02"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2120 V";"Date:";"2025-04-02 ¿ÀÈÄ 11:19:38"
"Current:";"2.24212 A";"File:";"OV1 DOM HL LED HIGH (STD ASSY-LED) LH #2 2025-04-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"H - 5L";"5100";"-";"17945.6900";"-5";"0";"OK";"17945.6900";"-5";"0";"17945.6900";"-5";"0"
"H - 2.5L";"20300";"-";"37191.0700";"-2.5";"0";"OK";"37191.0700";"-2.5";"0";"37191.0700";"-2.5";"0"
"H - V";"0.8*MAX";"-";"56226.5000";"0";"0";"OK";"56226.5000";"0";"0";"56226.5000";"0";"0"
"H - 2.5R";"20300";"-";"28363.1900";"2.5";"0";"OK";"28363.1900";"2.5";"0";"28363.1900";"2.5";"0"
"H - 5R";"5100";"-";"12746.9400";"5";"0";"OK";"12746.9400";"5";"0";"12746.9400";"5";"0"
"MAX";"40500";"215000";"56911.7100";"-0.17";"-0.5";"OK";"56911.7100";"-0.17";"-0.5";"56911.7100";"-0.17";"-0.5"
