sep=;
"Name:";"9BQC MCM NAS HL LED PSTN (ASSY-LED) LH#2 2025-09-11"
"Number:";""
"Report:";"LEE HYEON WOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5144 V";"Date:";"2025-09-12 ¿ÀÀü 12:05:12"
"Current:";"0.36583 A";"File:";"9BQC MCM NAS HL LED PSTN (ASSY-LED) LH#2 2025-09-11"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"31.9225";"0";"0";"OK";"31.9225";"0";"0";"31.9225";"0";"0"
"30min H-V";"-";"-";"31.9406";"0";"0";"OK";"31.9406";"0";"0";"31.9406";"0";"0"
"10U - 5L";"0.8";"125";"21.9178";"-5";"10";"OK";"21.9178";"-5";"10";"21.9178";"-5";"10"
"10U - 5R";"0.8";"125";"20.5588";"5";"10";"OK";"20.5588";"5";"10";"20.5588";"5";"10"
"5U - 20L";"0.4";"125";"15.9215";"-20";"5";"OK";"15.9215";"-20";"5";"15.9215";"-20";"5"
"5U - 10L";"0.8";"125";"24.3828";"-10";"5";"OK";"24.3828";"-10";"5";"24.3828";"-10";"5"
"5U - V";"2.8";"125";"28.4924";"0";"5";"OK";"28.4924";"0";"5";"28.4924";"0";"5"
"5U - 10R";"0.8";"125";"22.5214";"10";"5";"OK";"22.5214";"10";"5";"22.5214";"10";"5"
"5U - 20R";"0.4";"125";"12.9215";"20";"5";"OK";"12.9215";"20";"5";"12.9215";"20";"5"
"H - 10L";"1.4";"125";"26.1214";"-10";"0";"OK";"26.1214";"-10";"0";"26.1214";"-10";"0"
"H - 5L";"3.6";"125";"30.6141";"-5";"0";"OK";"30.6141";"-5";"0";"30.6141";"-5";"0"
"H - V";"4";"125";"32.1285";"0";"0";"OK";"32.1285";"0";"0";"32.1285";"0";"0"
"H - 5R";"3.6";"125";"30.3033";"5";"0";"OK";"30.3033";"5";"0";"30.3033";"5";"0"
"H - 10R";"1.4";"125";"25.1130";"10";"0";"OK";"25.1130";"10";"0";"25.1130";"10";"0"
"5D - 20L";"0.4";"250";"14.6492";"-20";"-5";"OK";"14.6492";"-20";"-5";"14.6492";"-20";"-5"
"5D - 10L";"0.8";"250";"23.4431";"-10";"-5";"OK";"23.4431";"-10";"-5";"23.4431";"-10";"-5"
"5D - V";"2.8";"250";"29.1972";"0";"-5";"OK";"29.1972";"0";"-5";"29.1972";"0";"-5"
"5D - 10R";"0.8";"250";"22.4166";"10";"-5";"OK";"22.4166";"10";"-5";"22.4166";"10";"-5"
"5D - 20R";"0.4";"250";"12.6179";"20";"-5";"OK";"12.6179";"20";"-5";"12.6179";"20";"-5"
"10D - 5L";"0.8";"250";"20.5913";"-5";"-10";"OK";"20.5913";"-5";"-10";"20.5913";"-5";"-10"
"10D - 5R";"0.8";"250";"19.7275";"5";"-10";"OK";"19.7275";"5";"-10";"19.7275";"5";"-10"
