sep=;
"Name:";"9BQC MCM NAS HL LED PSTN (ASSY-LED) LH#3 COLOR 2025-09-11"
"Number:";""
"Report:";"LEE HYEON WOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.5145 V";"Date:";"2025-09-12 ¿ÀÀü 1:52:16"
"Current:";"0.36660 A";"File:";"9BQC MCM NAS HL LED PSTN (ASSY-LED) LH#3 COLOR 2025-09-11"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"EMin [lx]";"Hmin [¡Æ]";"Vmin [¡Æ]";"EMax [lx]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"10U - 5L";"-5";"10";"0.3226";"0.3267";"5991";"OK";"0.043";"";"";"0.043";"";""
"2";"10U - 5R";"5";"10";"0.3210";"0.3244";"6085";"OK";"0.034";"";"";"0.034";"";""
"3";"5U - 20L";"-20";"5";"0.3209";"0.3242";"6090";"OK";"0.027";"";"";"0.027";"";""
"4";"5U - 10L";"-10";"5";"0.3238";"0.3283";"5927";"OK";"0.060";"";"";"0.060";"";""
"5";"5U - V";"0";"5";"0.3236";"0.3278";"5936";"OK";"0.074";"";"";"0.074";"";""
"6";"5U - 10R";"10";"5";"0.3220";"0.3253";"6026";"OK";"0.049";"";"";"0.049";"";""
"7";"5U - 20R";"20";"5";"0.3216";"0.3250";"6049";"OK";"0.020";"";"";"0.020";"";""
"8";"H - 10L";"-10";"0";"0.3238";"0.3284";"5922";"OK";"0.065";"";"";"0.065";"";""
"9";"H - 5L";"-5";"0";"0.3252";"0.3299";"5847";"OK";"0.088";"";"";"0.088";"";""
"10";"H - V";"0";"0";"0.3251";"0.3293";"5858";"OK";"0.093";"";"";"0.093";"";""
"11";"H - 5R";"5";"0";"0.3245";"0.3285";"5885";"OK";"0.085";"";"";"0.085";"";""
"12";"H - 10R";"10";"0";"0.3239";"0.3275";"5924";"OK";"0.068";"";"";"0.068";"";""
"13";"5D - 20L";"-20";"-5";"0.3204";"0.3242";"6120";"OK";"0.023";"";"";"0.023";"";""
"14";"5D - 10L";"-10";"-5";"0.3235";"0.3278";"5942";"OK";"0.057";"";"";"0.057";"";""
"15";"5D - V";"0";"-5";"0.3254";"0.3299";"5839";"OK";"0.083";"";"";"0.083";"";""
"16";"5D - 10R";"10";"-5";"0.3240";"0.3274";"5917";"OK";"0.055";"";"";"0.055";"";""
"17";"5D - 20R";"20";"-5";"0.3251";"0.3295";"5853";"OK";"0.032";"";"";"0.032";"";""
"18";"10D - 5L";"-5";"-10";"0.3230";"0.3270";"5967";"OK";"0.034";"";"";"0.034";"";""
"19";"10D - 5R";"5";"-10";"0.3217";"0.3239";"6050";"OK";"0.028";"";"";"0.028";"";""
