sep=;
"Name:";"CT1 NAS HL LED DRL (STD ASSY-LED) RH #2 2025-06-30"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"12.8104 V";"Date:";"2025-06-30 ¿ÀÈÄ 9:28:26"
"Current:";"0.00000 A";"File:";"CT1 NAS HL LED DRL (STD ASSY-LED) RH #2 2025-06-30"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1MIN";"-";"-";"558.6000";"0";"0";"OK";"558.6000";"0";"0";"558.6000";"0";"0"
"30MIN";"-";"-";"545.4000";"0";"0";"OK";"545.4000";"0";"0";"545.4000";"0";"0"
"5U-10L";"100";"2500";"348.4000";"-10";"5";"OK";"348.4000";"-10";"5";"348.4000";"-10";"5"
"5U-V";"350";"2500";"537.4000";"0";"5";"OK";"537.4000";"0";"5";"537.4000";"0";"5"
"5U-10R";"100";"2500";"405.3000";"10";"5";"OK";"405.3000";"10";"5";"405.3000";"10";"5"
"H-20L";"50";"2500";"137.5000";"-20";"0";"OK";"137.5000";"-20";"0";"137.5000";"-20";"0"
"H-10L";"350";"2500";"351.0000";"-10";"0";"OK";"351.0000";"-10";"0";"351.0000";"-10";"0"
"H-5L";"450";"2500";"488.7000";"-5";"0";"OK";"488.7000";"-5";"0";"488.7000";"-5";"0"
"H-V";"500";"2500";"545.4000";"0";"0";"OK";"545.4000";"0";"0";"545.4000";"0";"0"
"H-5R";"450";"2500";"500.7000";"5";"0";"OK";"500.7000";"5";"0";"500.7000";"5";"0"
"H-10R";"350";"2500";"398.4000";"10";"0";"OK";"398.4000";"10";"0";"398.4000";"10";"0"
"H-20R";"50";"2500";"181.2000";"20";"0";"OK";"181.2000";"20";"0";"181.2000";"20";"0"
"5D-10L";"100";"2500";"271.5000";"-10";"-5";"OK";"271.5000";"-10";"-5";"271.5000";"-10";"-5"
"5D-V";"350";"2500";"407.2000";"0";"-5";"OK";"407.2000";"0";"-5";"407.2000";"0";"-5"
"5D-10R";"100";"2500";"303.4000";"10";"-5";"OK";"303.4000";"10";"-5";"303.4000";"10";"-5"
"MAX";"-";"2500";"(32.9000) 559.3000";"(-30) 0";"(-9.8) 2";"OK";"32.9000";"-30";"-9.8";"559.3000";"0";"2"
