sep=;
"Name:";"CT1 NAS HL LED PSTN (STD ASSY-LED) RH #2 COLOR 2025-06-30"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.5128 V";"Date:";"2025-07-01 ¿ÀÀü 2:33:09"
"Current:";"0.00000 A";"File:";"CT1 NAS HL LED PSTN (STD ASSY-LED) RH #2 COLOR 2025-06-30"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"EMin [lx]";"Hmin [¡Æ]";"Vmin [¡Æ]";"EMax [lx]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U - 5L";"-5";"10";"0.3283";"0.3383";"5686";"OK";"0.069";"";"";"0.069";"";""
"10U - 5R";"5";"10";"0.3280";"0.3381";"5704";"OK";"0.073";"";"";"0.073";"";""
"5U - 20L";"-20";"5";"0.3270";"0.3359";"5751";"OK";"0.021";"";"";"0.021";"";""
"5U - 10L";"-10";"5";"0.3273";"0.3364";"5735";"OK";"0.061";"";"";"0.061";"";""
"5U - V";"0";"5";"0.3283";"0.3379";"5689";"OK";"0.100";"";"";"0.100";"";""
"5U - 10R";"10";"5";"0.3268";"0.3363";"5761";"OK";"0.072";"";"";"0.072";"";""
"5U - 20R";"20";"5";"0.3256";"0.3350";"5820";"OK";"0.029";"";"";"0.029";"";""
"H - 10L";"-10";"0";"0.3276";"0.3364";"5724";"OK";"0.062";"";"";"0.062";"";""
"H - 5L";"-5";"0";"0.3285";"0.3375";"5678";"OK";"0.090";"";"";"0.090";"";""
"H - V";"0";"0";"0.3286";"0.3379";"5676";"OK";"0.103";"";"";"0.103";"";""
"H - 5R";"5";"0";"0.3280";"0.3372";"5700";"OK";"0.093";"";"";"0.093";"";""
"H - 10R";"10";"0";"0.3269";"0.3360";"5754";"OK";"0.072";"";"";"0.072";"";""
"5D - 20L";"-20";"-5";"0.3277";"0.3367";"5718";"OK";"0.017";"";"";"0.017";"";""
"5D - 10L";"-10";"-5";"0.3284";"0.3375";"5684";"OK";"0.048";"";"";"0.048";"";""
"5D - V";"0";"-5";"0.3291";"0.3388";"5649";"OK";"0.077";"";"";"0.077";"";""
"5D - 10R";"10";"-5";"0.3272";"0.3365";"5741";"OK";"0.055";"";"";"0.055";"";""
"5D - 20R";"20";"-5";"0.3261";"0.3354";"5795";"OK";"0.024";"";"";"0.024";"";""
"10D - 5L";"-5";"-10";"0.3299";"0.3401";"5613";"OK";"0.041";"";"";"0.041";"";""
"10D - 5R";"5";"-10";"0.3288";"0.3390";"5665";"OK";"0.042";"";"";"0.042";"";""
