sep=;
"Name:";"CT1 NAS HL LED DRL (STD ASSY-LED) RH #2 COLOR 2025-06-30"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"12.8108 V";"Date:";"2025-06-30 ¿ÀÈÄ 9:30:12"
"Current:";"0.00000 A";"File:";"CT1 NAS HL LED DRL (STD ASSY-LED) RH #2 COLOR 2025-06-30"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"5U-10L";"-10";"5";"0.3279";"0.3376";"5706";"OK";"350.7";"";"";"350.7";"";""
"5U-V";"0";"5";"0.3287";"0.3388";"5667";"OK";"540.4";"";"";"540.4";"";""
"5U-10R";"10";"5";"0.3272";"0.3372";"5741";"OK";"408.3";"";"";"408.3";"";""
"H-20L";"-20";"0";"0.3271";"0.3367";"5744";"OK";"140.1";"";"";"140.1";"";""
"H-10L";"-10";"0";"0.3281";"0.3378";"5697";"OK";"357.3";"";"";"357.3";"";""
"H-5L";"-5";"0";"0.3289";"0.3388";"5658";"OK";"495.9";"";"";"495.9";"";""
"H-V";"0";"0";"0.3291";"0.3389";"5652";"OK";"552.7";"";"";"552.7";"";""
"H-5R";"5";"0";"0.3285";"0.3383";"5680";"OK";"507.2";"";"";"507.2";"";""
"H-10R";"10";"0";"0.3272";"0.3371";"5738";"OK";"402.9";"";"";"402.9";"";""
"H-20R";"20";"0";"0.3260";"0.3360";"5798";"OK";"183.0";"";"";"183.0";"";""
"5D-10L";"-10";"-5";"0.3289";"0.3387";"5660";"OK";"281.7";"";"";"281.7";"";""
"5D-V";"0";"-5";"0.3296";"0.3397";"5629";"OK";"421.0";"";"";"421.0";"";""
"5D-10R";"10";"-5";"0.3276";"0.3374";"5723";"OK";"310.6";"";"";"310.6";"";""
