sep=;
"Name:";"OV1 DOM HL LED HIGH (OPT ASSY-LED) RH #1 2025-03-31"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2112 V";"Date:";"2025-04-01 ¿ÀÀü 2:08:22"
"Current:";"2.30178 A";"File:";"OV1 DOM HL LED HIGH (OPT ASSY-LED) RH #1 2025-03-31"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"H - 5L";"5100";"-";"17405.820";"-5";"0";"OK";"17405.820";"-5";"0";"17405.820";"-5";"0"
"H - 2.5L";"20300";"-";"33252.020";"-2.5";"0";"OK";"33252.020";"-2.5";"0";"33252.020";"-2.5";"0"
"H - V";"0.8*MAX";"-";"59435.730";"0";"0";"OK";"59435.730";"0";"0";"59435.730";"0";"0"
"H - 2.5R";"20300";"-";"40400.300";"2.5";"0";"OK";"40400.300";"2.5";"0";"40400.300";"2.5";"0"
"H - 5R";"5100";"-";"22714.550";"5";"0";"OK";"22714.550";"5";"0";"22714.550";"5";"0"
"MAX";"40500";"215000";"59785.650";"0.31";"0.26";"OK";"59785.650";"0.31";"0.26";"59785.650";"0.31";"0.26"
