sep=;
"Name:";"CT1 NAS HL LED DRL (STD ASSY-LED) RH #3 2025-06-30"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"12.8101 V";"Date:";"2025-06-30 ¿ÀÈÄ 10:38:51"
"Current:";"0.00000 A";"File:";"CT1 NAS HL LED DRL (STD ASSY-LED) RH #3 2025-06-30"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1MIN";"-";"-";"553.7000";"0";"0";"OK";"553.7000";"0";"0";"553.7000";"0";"0"
"30MIN";"-";"-";"536.6000";"0";"0";"OK";"536.6000";"0";"0";"536.6000";"0";"0"
"5U-10L";"100";"2500";"347.2000";"-10";"5";"OK";"347.2000";"-10";"5";"347.2000";"-10";"5"
"5U-V";"350";"2500";"523.6000";"0";"5";"OK";"523.6000";"0";"5";"523.6000";"0";"5"
"5U-10R";"100";"2500";"373.7000";"10";"5";"OK";"373.7000";"10";"5";"373.7000";"10";"5"
"H-20L";"50";"2500";"141.6000";"-20";"0";"OK";"141.6000";"-20";"0";"141.6000";"-20";"0"
"H-10L";"350";"2500";"355.2000";"-10";"0";"OK";"355.2000";"-10";"0";"355.2000";"-10";"0"
"H-5L";"450";"2500";"490.5000";"-5";"0";"OK";"490.5000";"-5";"0";"490.5000";"-5";"0"
"H-V";"500";"2500";"536.5000";"0";"0";"OK";"536.5000";"0";"0";"536.5000";"0";"0"
"H-5R";"450";"2500";"476.2000";"5";"0";"OK";"476.2000";"5";"0";"476.2000";"5";"0"
"H-10R";"350";"2500";"368.0000";"10";"0";"OK";"368.0000";"10";"0";"368.0000";"10";"0"
"H-20R";"50";"2500";"171.9000";"20";"0";"OK";"171.9000";"20";"0";"171.9000";"20";"0"
"5D-10L";"100";"2500";"278.3000";"-10";"-5";"OK";"278.3000";"-10";"-5";"278.3000";"-10";"-5"
"5D-V";"350";"2500";"402.4000";"0";"-5";"OK";"402.4000";"0";"-5";"402.4000";"0";"-5"
"5D-10R";"100";"2500";"281.9000";"10";"-5";"OK";"281.9000";"10";"-5";"281.9000";"10";"-5"
"MAX";"-";"2500";"(35.5000) 548.3000";"(-30) -0.8";"(-9.8) 2";"OK";"35.5000";"-30";"-9.8";"548.3000";"-0.8";"2"
