sep=;
"Name:";"CT1 NAS HL LED PSTN (STD ASSY-LED) RH #3 2025-06-30"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.5128 V";"Date:";"2025-07-01 ¿ÀÀü 4:20:02"
"Current:";"0.00000 A";"File:";"CT1 NAS HL LED PSTN (STD ASSY-LED) RH #3 2025-06-30"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"62.3200";"0";"0";"OK";"62.3200";"0";"0";"62.3200";"0";"0"
"30min H-V";"-";"-";"62.2500";"0";"0";"OK";"62.2500";"0";"0";"62.2500";"0";"0"
"10U - 5L";"0.8";"125";"44.8100";"-5";"10";"OK";"44.8100";"-5";"10";"44.8100";"-5";"10"
"10U - 5R";"0.8";"125";"44.7400";"5";"10";"OK";"44.7400";"5";"10";"44.7400";"5";"10"
"5U - 20L";"0.4";"125";"16.0300";"-20";"5";"OK";"16.0300";"-20";"5";"16.0300";"-20";"5"
"5U - 10L";"0.8";"125";"39.6700";"-10";"5";"OK";"39.6700";"-10";"5";"39.6700";"-10";"5"
"5U - V";"2.8";"125";"60.8400";"0";"5";"OK";"60.8400";"0";"5";"60.8400";"0";"5"
"5U - 10R";"0.8";"125";"43.7400";"10";"5";"OK";"43.7400";"10";"5";"43.7400";"10";"5"
"5U - 20R";"0.4";"125";"20.7100";"20";"5";"OK";"20.7100";"20";"5";"20.7100";"20";"5"
"H - 10L";"1.4";"125";"40.4000";"-10";"0";"OK";"40.4000";"-10";"0";"40.4000";"-10";"0"
"H - 5L";"3.6";"125";"56.3100";"-5";"0";"OK";"56.3100";"-5";"0";"56.3100";"-5";"0"
"H - V";"4";"125";"62.2500";"0";"0";"OK";"62.2500";"0";"0";"62.2500";"0";"0"
"H - 5R";"3.6";"125";"55.5000";"5";"0";"OK";"55.5000";"5";"0";"55.5000";"5";"0"
"H - 10R";"1.4";"125";"43.2700";"10";"0";"OK";"43.2700";"10";"0";"43.2700";"10";"0"
"5D - 20L";"0.4";"250";"12.9200";"-20";"-5";"OK";"12.9200";"-20";"-5";"12.9200";"-20";"-5"
"5D - 10L";"0.8";"250";"31.4300";"-10";"-5";"OK";"31.4300";"-10";"-5";"31.4300";"-10";"-5"
"5D - V";"2.8";"250";"46.3700";"0";"-5";"OK";"46.3700";"0";"-5";"46.3700";"0";"-5"
"5D - 10R";"0.8";"250";"33.1600";"10";"-5";"OK";"33.1600";"10";"-5";"33.1600";"10";"-5"
"5D - 20R";"0.4";"250";"17.0300";"20";"-5";"OK";"17.0300";"20";"-5";"17.0300";"20";"-5"
"10D - 5L";"0.8";"250";"26.6200";"-5";"-10";"OK";"26.6200";"-5";"-10";"26.6200";"-5";"-10"
"10D - 5R";"0.8";"250";"26.2800";"5";"-10";"OK";"26.2800";"5";"-10";"26.2800";"5";"-10"
"above h-h Visibility";"0.05";"125";"(1.0500) 64.0400";"(-45) -0.3";"(0.2) 2";"OK";"1.0500";"-45";"0.2";"64.0400";"-0.3";"2"
"below h-h Visibility";"0.05";"250";"(0.7100) 62.2000";"(-45) -0.2";"(-14.8) -0.01";"OK";"0.7100";"-45";"-14.8";"62.2000";"-0.2";"-0.01"
