sep=;
"Name:";"CT1 NAS HL LED PSTN (STD ASSY-LED) RH #3 COLOR 2025-06-30"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.5131 V";"Date:";"2025-07-01 ¿ÀÀü 4:22:47"
"Current:";"0.00000 A";"File:";"CT1 NAS HL LED PSTN (STD ASSY-LED) RH #3 COLOR 2025-06-30"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"EMin [lx]";"Hmin [¡Æ]";"Vmin [¡Æ]";"EMax [lx]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U - 5L";"-5";"10";"0.3295";"0.3394";"5632";"OK";"0.068";"";"";"0.068";"";""
"10U - 5R";"5";"10";"0.3289";"0.3392";"5660";"OK";"0.068";"";"";"0.068";"";""
"5U - 20L";"-20";"5";"0.3278";"0.3368";"5710";"OK";"0.021";"";"";"0.021";"";""
"5U - 10L";"-10";"5";"0.3283";"0.3370";"5689";"OK";"0.060";"";"";"0.060";"";""
"5U - V";"0";"5";"0.3293";"0.3386";"5642";"OK";"0.097";"";"";"0.097";"";""
"5U - 10R";"10";"5";"0.3278";"0.3372";"5711";"OK";"0.067";"";"";"0.067";"";""
"5U - 20R";"20";"5";"0.3265";"0.3360";"5776";"OK";"0.027";"";"";"0.027";"";""
"H - 10L";"-10";"0";"0.3285";"0.3368";"5679";"OK";"0.063";"";"";"0.063";"";""
"H - 5L";"-5";"0";"0.3294";"0.3381";"5636";"OK";"0.090";"";"";"0.090";"";""
"H - V";"0";"0";"0.3295";"0.3385";"5631";"OK";"0.101";"";"";"0.101";"";""
"H - 5R";"5";"0";"0.3288";"0.3378";"5664";"OK";"0.089";"";"";"0.089";"";""
"H - 10R";"10";"0";"0.3279";"0.3370";"5708";"OK";"0.067";"";"";"0.067";"";""
"5D - 20L";"-20";"-5";"0.3288";"0.3370";"5665";"OK";"0.018";"";"";"0.018";"";""
"5D - 10L";"-10";"-5";"0.3290";"0.3379";"5655";"OK";"0.049";"";"";"0.049";"";""
"5D - V";"0";"-5";"0.3298";"0.3389";"5617";"OK";"0.076";"";"";"0.076";"";""
"5D - 10R";"10";"-5";"0.3278";"0.3369";"5710";"OK";"0.051";"";"";"0.051";"";""
"5D - 20R";"20";"-5";"0.3267";"0.3358";"5765";"OK";"0.023";"";"";"0.023";"";""
"10D - 5L";"-5";"-10";"0.3303";"0.3398";"5597";"OK";"0.042";"";"";"0.042";"";""
"10D - 5R";"5";"-10";"0.3290";"0.3385";"5655";"OK";"0.041";"";"";"0.041";"";""
