sep=;
"Name:";"9BQC MCM NAS HL LED DRL (ASSY-LED) LH#2 COLOR 2025-09-11"
"Number:";""
"Report:";"LEE HYEON WOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"12.8157 V";"Date:";"2025-09-12 ¿ÀÀü 12:01:24"
"Current:";"1.47031 A";"File:";"9BQC MCM NAS HL LED DRL (ASSY-LED) LH#2 COLOR 2025-09-11"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"5U-10L";"-10";"5";"0.3251";"0.3276";"5860";"OK";"253.4";"";"";"253.4";"";""
"2";"5U-V";"0";"5";"0.3260";"0.3286";"5810";"OK";"295.6";"";"";"295.6";"";""
"3";"5U-10R";"10";"5";"0.3247";"0.3266";"5881";"OK";"233.3";"";"";"233.3";"";""
"4";"H-20L";"-20";"0";"0.3218";"0.3234";"6048";"OK";"168.0";"";"";"168.0";"";""
"5";"H-10L";"-10";"0";"0.3258";"0.3284";"5823";"OK";"270.6";"";"";"270.6";"";""
"6";"H-5L";"-5";"0";"0.3272";"0.3300";"5751";"OK";"316.8";"";"";"316.8";"";""
"7";"H-V";"0";"0";"0.3276";"0.3303";"5729";"OK";"332.3";"";"";"332.3";"";""
"8";"H-5R";"5";"0";"0.3274";"0.3298";"5742";"OK";"312.9";"";"";"312.9";"";""
"9";"H-10R";"10";"0";"0.3266";"0.3287";"5780";"OK";"259.0";"";"";"259.0";"";""
"10";"H-20R";"20";"0";"0.3255";"0.3276";"5840";"OK";"144.4";"";"";"144.4";"";""
"11";"5D-10L";"-10";"-5";"0.3250";"0.3274";"5864";"OK";"242.0";"";"";"242.0";"";""
"12";"5D-V";"0";"-5";"0.3274";"0.3299";"5742";"OK";"300.9";"";"";"300.9";"";""
"13";"5D-10R";"10";"-5";"0.3264";"0.3285";"5794";"OK";"230.6";"";"";"230.6";"";""
