sep=;
"Name:";"9BQC MCM NAS HL LED DRL (ASSY-LED) LH#1 2025-09-11"
"Number:";""
"Report:";"LEE HYEON WOO"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"12.8158 V";"Date:";"2025-09-11 ¿ÀÈÄ 9:03:46"
"Current:";"1.19454 A";"File:";"9BQC MCM NAS HL LED DRL (ASSY-LED) LH#1 2025-09-11"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1MIN";"-";"-";"520.8010";"0";"0";"OK";"520.8010";"0";"0";"520.8010";"0";"0"
"30MIN";"-";"-";"497.9940";"0";"0";"OK";"497.9940";"0";"0";"497.9940";"0";"0"
"5U-10L";"100";"2500";"331.0804";"-10";"5";"OK";"331.0804";"-10";"5";"331.0804";"-10";"5"
"5U-V";"350";"2500";"393.5736";"0";"5";"OK";"393.5736";"0";"5";"393.5736";"0";"5"
"5U-10R";"100";"2500";"282.7918";"10";"5";"OK";"282.7918";"10";"5";"282.7918";"10";"5"
"H-20L";"50";"2500";"183.1785";"-20";"0";"OK";"183.1785";"-20";"0";"183.1785";"-20";"0"
"H-10L";"350";"2500";"362.4535";"-10";"0";"OK";"362.4535";"-10";"0";"362.4535";"-10";"0"
"H-5L";"450";"2500";"471.6088";"-5";"0";"OK";"471.6088";"-5";"0";"471.6088";"-5";"0"
"H-V";"500";"2500";"497.9218";"0";"0";"NG";"497.9218";"0";"0";"497.9218";"0";"0"
"H-5R";"450";"2500";"467.7775";"5";"0";"OK";"467.7775";"5";"0";"467.7775";"5";"0"
"H-10R";"350";"2500";"381.1400";"10";"0";"OK";"381.1400";"10";"0";"381.1400";"10";"0"
"H-20R";"50";"2500";"208.6601";"20";"0";"OK";"208.6601";"20";"0";"208.6601";"20";"0"
"5D-10L";"100";"2500";"324.2491";"-10";"-5";"OK";"324.2491";"-10";"-5";"324.2491";"-10";"-5"
"5D-V";"350";"2500";"450.3199";"0";"-5";"OK";"450.3199";"0";"-5";"450.3199";"0";"-5"
"5D-10R";"100";"2500";"320.9600";"10";"-5";"OK";"320.9600";"10";"-5";"320.9600";"10";"-5"
"MAX";"-";"2500";"(43.0773) 507.4970";"(30) -0.8";"(-10) 0";"OK";"43.0773";"30";"-10";"507.4970";"-0.8";"0"
