sep=;
"Name:";"OV1 DOM HL LED LOW (STD ASSY-LED) LH #1 COLOR 2025-01-18"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"13.2163 V";"Date:";"2025-01-18 ¿ÀÀü 8:46:36"
"Current:";"1.48628 A";"File:";"OV1 DOM HL LED LOW (STD ASSY-LED) LH #1 COLOR 2025-01-18"

"No.";"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1";"25L";"-9";"-1.72";"0.3241";"0.3396";"5881";"OK";"10930.8";"";"";"10930.8";"";""
"2";"1.72D - 5.14L";"-5.14";"-1.72";"0.3233";"0.3384";"5921";"OK";"15594.5";"";"";"15594.5";"";""
"3";"1.72D - V";"0";"-1.72";"0.3235";"0.3381";"5913";"OK";"33796.6";"";"";"33796.6";"";""
"4";"1.72D - 5.14R";"5.14";"-1.72";"0.3256";"0.3422";"5807";"OK";"18535.7";"";"";"18535.7";"";""
"5";"25R";"9";"-1.72";"0.3248";"0.3415";"5845";"OK";"10835.0";"";"";"10835.0";"";""
"6";"4D - 5.14L";"-5.14";"-4";"0.3267";"0.3426";"5756";"OK";"8315.5";"";"";"8315.5";"";""
"7";"4D - V";"0";"-4";"0.3282";"0.3458";"5683";"OK";"8749.2";"";"";"8749.2";"";""
"8";"4D - 5.14R";"5.14";"-4";"0.3289";"0.3472";"5654";"OK";"8895.4";"";"";"8895.4";"";""
