sep=;
"Name:";"OV1 DOM HL LED LOW (STD ASSY-LED) LH #1 COLOR 2025-03-31"
"Number:";""
"Report:";"JO WON JIN"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(LMT #01 GO H-1300)"
"Voltage:";"13.2121 V";"Date:";"2025-03-31 ¿ÀÈÄ 7:27:20"
"Current:";"1.53782 A";"File:";"OV1 DOM HL LED LOW (STD ASSY-LED) LH #1 COLOR 2025-03-31"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"25L";"-9";"-1.72";"0.3242";"0.3396";"5875";"OK";"9747.1";"";"";"9747.1";"";""
"1.72D - 5.14L";"-5.14";"-1.72";"0.3237";"0.3383";"5902";"OK";"14298.7";"";"";"14298.7";"";""
"1.72D - V";"0";"-1.72";"0.3251";"0.3344";"5844";"OK";"29567.7";"";"";"29567.7";"";""
"1.72D - 5.14R";"5.14";"-1.72";"0.3248";"0.3384";"5850";"OK";"17068.4";"";"";"17068.4";"";""
"25R";"9";"-1.72";"0.3238";"0.3386";"5896";"OK";"10867.4";"";"";"10867.4";"";""
"4D - 5.14L";"-5.14";"-4";"0.3264";"0.3379";"5776";"OK";"9323.7";"";"";"9323.7";"";""
"4D - V";"0";"-4";"0.3274";"0.3398";"5727";"OK";"9376.6";"";"";"9376.6";"";""
"4D - 5.14R";"5.14";"-4";"0.3273";"0.3408";"5730";"OK";"9067.9";"";"";"9067.9";"";""
